id,strategy,tokens,latency
2,base,71,0.6014385418966413
2,tsce1,14,0.0
1,base,160,1.014481582911685
1,tsce1,55,0.0
3,base,165,0.8872281250078231
3,tsce1,59,0.0
4,base,114,0.2091526659205556
4,tsce1,136,0.0
7,base,105,0.5283532501198351
7,tsce1,40,0.0
6,base,100,0.21461199992336333
6,tsce1,67,0.0
9,base,71,0.25349491694942117
9,tsce1,14,0.0
10,base,162,0.5751545841339976
10,tsce1,57,0.0
11,base,37,0.18861558404751122
11,tsce1,5,0.0
5,base,813,3.248452000087127
5,tsce1,250,0.0
12,base,71,0.2621225418988615
12,tsce1,14,0.0
8,base,813,2.1455160840414464
8,tsce1,250,0.0
15,base,37,0.17215291690081358
15,tsce1,5,0.0
14,base,130,0.20588666596449912
14,tsce1,91,0.0
13,base,168,0.6888727499172091
13,tsce1,62,0.0
16,base,114,0.3481163331307471
16,tsce1,98,0.0
17,base,105,0.494734583189711
17,tsce1,40,0.0
19,base,105,0.41737187490798533
19,tsce1,40,0.0
20,base,105,0.48672641697339714
20,tsce1,40,0.0
18,base,162,0.5102329580113292
18,tsce1,57,0.0
22,base,105,0.5305072090122849
22,tsce1,40,0.0
21,base,169,0.5927921670954674
21,tsce1,62,0.0
25,base,116,0.1854524170048535
25,tsce1,70,0.0
23,base,170,1.2419090839102864
23,tsce1,63,0.0
27,base,105,0.5225522080436349
27,tsce1,40,0.0
26,base,159,0.5868223749566823
26,tsce1,57,0.0
24,base,165,0.7007485830690712
24,tsce1,58,0.0
28,base,105,0.53783612488769
28,tsce1,40,0.0
29,base,107,0.17593408306129277
29,tsce1,61,0.0
30,base,34,1.0666992091573775
30,tsce1,5,0.0
33,base,37,0.17895908281207085
33,tsce1,5,0.0
32,base,163,0.6680050001014024
32,tsce1,60,0.0
34,base,161,0.750657708151266
34,tsce1,57,0.0
31,base,110,0.2449627078603953
31,tsce1,66,0.0
35,base,114,0.24559349985793233
35,tsce1,96,0.0
37,base,71,0.28123675007373095
37,tsce1,14,0.0
36,base,105,0.4654355419334024
36,tsce1,40,0.0
38,base,107,0.19334104214794934
38,tsce1,83,0.0
39,base,105,0.5583240841515362
39,tsce1,40,0.0
40,base,168,0.7579176248982549
40,tsce1,62,0.0
41,base,167,0.7153248330578208
41,tsce1,61,0.0
42,base,157,0.6717396250460297
42,tsce1,55,0.0
43,base,107,0.20362704200670123
43,tsce1,88,0.0
45,base,100,0.1876885409001261
45,tsce1,66,0.0
47,base,105,0.6134948751423508
47,tsce1,40,0.0
46,base,100,0.19758895807899535
46,tsce1,67,0.0
48,base,114,0.2284465830307454
48,tsce1,97,0.0
49,base,105,0.5648359169717878
49,tsce1,40,0.0
44,base,813,2.2938963749911636
44,tsce1,250,0.0
50,base,166,0.6879803750198334
50,tsce1,57,0.0
51,base,162,0.6110049998387694
51,tsce1,56,0.0
53,base,105,0.5388087090104818
53,tsce1,40,0.0
52,base,105,0.6721630829852074
52,tsce1,40,0.0
55,base,105,0.6146794999949634
55,tsce1,40,0.0
57,base,34,0.18236308288760483
57,tsce1,5,0.0
56,base,168,0.7947569580283016
56,tsce1,62,0.0
58,base,114,0.21556016593240201
58,tsce1,69,0.0
60,base,165,0.6179333329200745
60,tsce1,59,0.0
54,base,813,1.962505416944623
54,tsce1,250,0.0
62,base,107,0.23413183307275176
62,tsce1,63,0.0
59,base,813,2.699052833020687
59,tsce1,250,0.0
63,base,108,0.19001945899799466
63,tsce1,98,0.0
65,base,71,0.22466829209588468
65,tsce1,14,0.0
66,base,121,0.20530012506060302
66,tsce1,82,0.0
61,base,813,2.182972125010565
61,tsce1,250,0.0
67,base,71,0.22378875012509525
67,tsce1,14,0.0
69,base,71,0.3597396251279861
69,tsce1,14,0.0
68,base,123,0.19224833301268518
68,tsce1,82,0.0
70,base,71,0.2481699159834534
70,tsce1,14,0.0
72,base,71,0.3429490001872182
72,tsce1,14,0.0
64,base,813,3.674109957879409
64,tsce1,250,0.0
73,base,71,0.2719786250963807
73,tsce1,14,0.0
71,base,71,0.2318734999280423
71,tsce1,14,0.0
75,base,164,0.8927331659942865
75,tsce1,56,0.0
77,base,105,0.5464139999821782
77,tsce1,40,0.0
74,base,100,0.16868087486363947
74,tsce1,75,0.0
76,base,34,0.1641377918422222
76,tsce1,5,0.0
78,base,71,0.24983633402734995
78,tsce1,14,0.0
80,base,71,0.26875954191200435
80,tsce1,14,0.0
81,base,158,0.8443553340621293
81,tsce1,57,0.0
