id,strategy,tokens,latency
3,base,47,28.361361000002944
3,tsce,533,0.0
3,cot,49,0.0
3,ct,533,0.0
3,ref,30,0.0
3,rt,533,0.0
4,base,61,7.324195833003614
4,tsce,61,0.0
4,cot,61,0.0
4,ct,61,0.0
4,ref,61,0.0
4,rt,61,0.0
2,base,30,9.970757040995522
2,tsce,533,0.0
2,cot,37,0.0
2,ct,533,0.0
2,ref,30,0.0
2,rt,533,0.0
5,base,33,117.53619425000215
5,tsce,41,0.0
5,cot,108,0.0
5,ct,41,0.0
5,ref,44,0.0
5,rt,41,0.0
6,base,55,135.0063792919973
6,tsce,58,0.0
6,cot,55,0.0
6,ct,58,0.0
6,ref,57,0.0
6,rt,58,0.0
9,base,33,60.358333249998395
9,tsce,41,0.0
9,cot,185,0.0
9,ct,41,0.0
9,ref,33,0.0
9,rt,41,0.0
1,base,32,23.73742395899899
1,tsce,533,0.0
1,cot,60,0.0
1,ct,533,0.0
1,ref,30,0.0
1,rt,533,0.0
8,base,16,56.739543750009034
8,tsce,533,0.0
8,cot,37,0.0
8,ct,533,0.0
8,ref,30,0.0
8,rt,533,0.0
12,base,55,102.06155666700215
12,tsce,55,0.0
12,cot,71,0.0
12,ct,55,0.0
12,ref,59,0.0
12,rt,55,0.0
7,base,33,86.32111849999637
7,tsce,41,0.0
7,cot,217,0.0
7,ct,41,0.0
7,ref,44,0.0
7,rt,41,0.0
11,base,5,102.94751666698721
11,tsce,5,0.0
11,cot,28,0.0
11,ct,5,0.0
11,ref,44,0.0
11,rt,5,0.0
10,base,256,124.25423937500454
10,tsce,476,0.0
10,cot,102,0.0
10,ct,256,0.0
10,ref,256,0.0
10,rt,256,0.0
14,base,89,206.61890616700111
14,tsce,6,0.0
14,cot,132,0.0
14,ct,109,0.0
14,ref,103,0.0
14,rt,6,0.0
13,base,256,155.70051895899815
13,tsce,476,0.0
13,cot,256,0.0
13,ct,123,0.0
13,ref,256,0.0
13,rt,256,0.0
15,base,61,159.547398833005
15,tsce,59,0.0
15,cot,60,0.0
15,ct,59,0.0
15,ref,60,0.0
15,rt,59,0.0
18,base,30,53.01454712499981
18,tsce,533,0.0
18,cot,44,0.0
18,ct,533,0.0
18,ref,30,0.0
18,rt,533,0.0
16,base,5,76.31179687500116
16,tsce,5,0.0
16,cot,12,0.0
16,ct,5,0.0
16,ref,34,0.0
16,rt,5,0.0
17,base,116,38.12096925001242
17,tsce,6,0.0
17,cot,96,0.0
17,ct,131,0.0
17,ref,122,0.0
17,rt,6,0.0
19,base,44,62.387515000009444
19,tsce,41,0.0
19,cot,86,0.0
19,ct,41,0.0
19,ref,33,0.0
19,rt,41,0.0
22,base,33,143.48952120900503
22,tsce,41,0.0
22,cot,63,0.0
22,ct,41,0.0
22,ref,41,0.0
22,rt,41,0.0
20,base,96,25.02485791698564
20,tsce,6,0.0
20,cot,89,0.0
20,ct,86,0.0
20,ref,87,0.0
20,rt,6,0.0
24,base,64,118.24222612500307
24,tsce,60,0.0
24,cot,64,0.0
24,ct,60,0.0
24,ref,64,0.0
24,rt,60,0.0
25,base,33,81.98819412500598
25,tsce,41,0.0
25,cot,222,0.0
25,ct,41,0.0
25,ref,33,0.0
25,rt,41,0.0
21,base,256,92.68073224998079
21,tsce,476,0.0
21,cot,86,0.0
21,ct,100,0.0
21,ref,256,0.0
21,rt,256,0.0
23,base,121,96.21974125000997
23,tsce,6,0.0
23,cot,124,0.0
23,ct,43,0.0
23,ref,139,0.0
23,rt,6,0.0
26,base,33,110.1078618329775
26,tsce,41,0.0
26,cot,96,0.0
26,ct,41,0.0
26,ref,33,0.0
26,rt,41,0.0
30,base,61,132.05684304100578
30,tsce,60,0.0
30,cot,60,0.0
30,ct,60,0.0
30,ref,60,0.0
30,rt,60,0.0
31,base,43,105.95671737499651
31,tsce,41,0.0
31,cot,143,0.0
31,ct,41,0.0
31,ref,33,0.0
31,rt,41,0.0
28,base,5,143.74479799999972
28,tsce,5,0.0
28,cot,68,0.0
28,ct,5,0.0
28,ref,5,0.0
28,rt,5,0.0
29,base,131,115.1037956669752
29,tsce,6,0.0
29,cot,127,0.0
29,ct,129,0.0
29,ref,6,0.0
29,rt,6,0.0
27,base,256,141.27580866700737
27,tsce,476,0.0
27,cot,119,0.0
27,ct,198,0.0
27,ref,256,0.0
27,rt,256,0.0
33,base,5,80.8679897080001
33,tsce,5,0.0
33,cot,11,0.0
33,ct,5,0.0
33,ref,41,0.0
33,rt,5,0.0
35,base,108,253.36105129198404
35,tsce,6,0.0
35,cot,102,0.0
35,ct,89,0.0
35,ref,83,0.0
35,rt,6,0.0
32,base,256,106.2628266249958
32,tsce,476,0.0
32,cot,77,0.0
32,ct,100,0.0
32,ref,256,0.0
32,rt,256,0.0
34,base,256,192.05851187501685
34,tsce,476,0.0
34,cot,256,0.0
34,ct,167,0.0
34,ref,256,0.0
34,rt,256,0.0
36,base,60,122.83855941699585
36,tsce,60,0.0
36,cot,63,0.0
36,ct,60,0.0
36,ref,60,0.0
36,rt,60,0.0
37,base,43,104.23181616698275
37,tsce,533,0.0
37,cot,54,0.0
37,ct,533,0.0
37,ref,30,0.0
37,rt,533,0.0
38,base,32,127.41342179200728
38,tsce,533,0.0
38,cot,44,0.0
38,ct,533,0.0
38,ref,30,0.0
38,rt,533,0.0
40,base,57,156.30436637499952
40,tsce,57,0.0
40,cot,59,0.0
40,ct,57,0.0
40,ref,59,0.0
40,rt,57,0.0
41,base,29,154.1953284170013
41,tsce,533,0.0
41,cot,37,0.0
41,ct,533,0.0
41,ref,48,0.0
41,rt,533,0.0
39,base,153,128.58663820798392
39,tsce,100,0.0
39,cot,89,0.0
39,ct,101,0.0
39,ref,6,0.0
39,rt,7,0.0
42,base,5,70.93072479098919
42,tsce,5,0.0
42,cot,104,0.0
42,ct,5,0.0
42,ref,5,0.0
42,rt,5,0.0
45,base,40,100.44469783300883
45,tsce,41,0.0
45,cot,215,0.0
45,ct,41,0.0
45,ref,33,0.0
45,rt,41,0.0
44,base,44,127.03800004100776
44,tsce,41,0.0
44,cot,256,0.0
44,ct,41,0.0
44,ref,32,0.0
44,rt,41,0.0
43,base,256,178.7981052499963
43,tsce,476,0.0
43,cot,128,0.0
43,ct,157,0.0
43,ref,256,0.0
43,rt,256,0.0
48,base,41,253.0678931250004
48,tsce,41,0.0
48,cot,59,0.0
48,ct,41,0.0
48,ref,33,0.0
48,rt,41,0.0
47,base,256,203.44243191700662
47,tsce,476,0.0
47,cot,101,0.0
47,ct,179,0.0
47,ref,256,0.0
47,rt,256,0.0
46,base,256,154.82130854198476
46,tsce,476,0.0
46,cot,152,0.0
46,ct,217,0.0
46,ref,256,0.0
46,rt,256,0.0
49,base,16,227.11614525000914
49,tsce,533,0.0
49,cot,55,0.0
49,ct,533,0.0
49,ref,30,0.0
49,rt,395,0.0
50,base,66,260.26644712500274
50,tsce,62,0.0
50,cot,43,0.0
50,ct,62,0.0
50,ref,66,0.0
50,rt,62,0.0
52,base,109,58.70630470800097
52,tsce,115,0.0
52,cot,51,0.0
52,ct,115,0.0
52,ref,6,0.0
52,rt,115,0.0
51,base,33,28.112301000015577
51,tsce,41,0.0
51,cot,256,0.0
51,ct,41,0.0
51,ref,33,0.0
51,rt,41,0.0
53,base,256,151.0651914170012
53,tsce,476,0.0
53,cot,185,0.0
53,ct,256,0.0
53,ref,256,0.0
53,rt,256,0.0
54,base,5,89.79755491702235
54,tsce,5,0.0
54,cot,56,0.0
54,ct,5,0.0
54,ref,23,0.0
54,rt,5,0.0
55,base,86,133.1356960000121
55,tsce,6,0.0
55,cot,65,0.0
55,ct,70,0.0
55,ref,64,0.0
55,rt,6,0.0
58,base,33,49.96698800000013
58,tsce,41,0.0
58,cot,54,0.0
58,ct,41,0.0
58,ref,33,0.0
58,rt,41,0.0
