run_dir,id,ok,token_count,char_length,cluster,anchor
2025-09-09_23-54-29,1,True,11,78,2,qvthric xrvane dkzlor thqvane vrqen xrlith qvdkz xrvith lorthic vqzric qvthqen
2025-09-09_23-54-29,2,True,16,127,1,qvthlqz xrfvdkj jxqvthg lqzvrcp vqkzjth gkzqvnl jxqvplm vqzthqk lqvthqj xqvdklt jxqvplq vqzqvnl gkzqvpl jxqvthg lqzqvnl xrfvdkj
2025-09-09_23-54-29,3,True,5,34,1,qvthxk vqzjrc lqvthg jxkqen rjvane
2025-09-09_23-54-29,4,True,17,171,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytre asdfghjkl qwertyuiop mnbvcxzlk jhgfdsqw rtyuiopq asdfghjklm qwertyuiopz xcvbnmasd qwertyuiopx asdfghjklq zxcvbnmnb qwertyuiopm
2025-09-09_23-54-29,5,False,10,91,0,qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew qwertyui asdfghjk lkjhgfds zxcvbnmq poiuytrew
2025-09-09_23-54-29,6,True,9,121,0,qwertyuiopasdfghj klmnopqrstu vwxyzabcdefg hijklmnopqrs tuvwxabcdefg hijklmnoqrst uvwxyzabcde fghijklmnopqrs tuvwxabcdefg
2025-09-09_23-54-29,7,True,16,159,0,qwertyui asdfghjk zxcvbnml qwertyop asdfghqz zxcvbnqw asdfghjkq qwertyuiop asdfghjkl zxcvbnmnb qwertyuiq asdfghjklm zxcvbnmlo qwertyuiopz asdfghjklq zxcvbnmloq
2025-09-09_23-54-29,8,True,6,41,1,qvthxk vqzjrc lqvthg jxqvne kxqvra zqvthg
2025-09-09_23-54-29,9,False,14,111,1,gqvthqz rjvexkz lqvthqk dkrqvne xzqvthk jxqvren vqzthqk lqvthqz rjvexkz dkrqvne xzqvthk jxqvren vqzthqk lqvthqz
2025-09-09_23-54-29,10,True,10,85,2,qvthric vxnolqen dkzvane rqthlor vrqenith xrvithan qvdkzane thqvane lorthqen vqzithan
2025-09-09_23-54-29,11,True,16,143,1,qvthlqzv xrfkqvth jxqvthkz vqzthqrf jxqvthqk lqzqvthk vqzqvthk jxqvthqv qvthqrfk vqthqrfk jxqvthqz vqthqrfq jxqvthqk vqthqrfq jxqvthqz vqthqrfk
2025-09-09_23-54-29,12,True,9,71,1,qvthxkz vqjzqv rjvthqk xqzvthk lqzqvthk vqjzqv rjvthqk xqzvthk lqzqvthk
2025-09-09_23-54-29,13,True,11,87,1,qvthlqz xrvkqjz dklvane thqzvne vrqkzqj xrvqenl qvdkzth lqvthqz xrvqenl dklvane qvthlqz
2025-09-09_23-54-29,14,False,10,77,1,qvthlqz vqkzjv xrvqkth jxqvthg lqzvdkj vqzqjth jxqvthg qvthlqz vqkzjv xrvqkth
2025-09-09_23-54-29,15,True,5,43,2,qvthric xylorqen vranthik jexlithk dkrivane
2025-09-09_23-54-29,17,True,4,33,1,qvthlqz vqkzvthk xqvthqz vqzqvthk
2025-09-09_23-54-29,16,True,13,106,0,qwerty asdfgh jklzxc vbnmop qwertyui asdfghj klmnbv xcvbnm qwertyuiop asdfghjkl zxcvbnm qwertyui asdfghjkl
2025-09-09_23-54-29,18,True,16,143,1,qvthlqzv xrfqvdkz jxqvthqk lqzvthqj vqzqvdkj kxqvthqg jxqvrqth lqzvrqth jxqvrqkd vqthqvdk jxqvrqth lqzqvdkj kxqvrqth jxqvthqg vqzvrqth lqzvrqkd
2025-09-09_23-54-29,19,False,14,111,1,gqvthqz xylorqk vqzthnq jxkzvne dkrqvth jxqvane qvthxkz lqzvthn xqvthqz jxqvthk xylqvne dkrqvth jxkzvne qvthxkz
2025-09-09_23-54-29,20,False,13,101,2,qvthric vxnolqk jzqvane thqzlor dkqvane rqxvane vqzthic jxqvane lqzthic vqzric jzqric qvthric xrvkzic
2025-09-09_23-54-29,21,True,6,47,1,gqvthqz rjvclqk xzqvthk dkrqvne jxqvthm lqzvthk
2025-09-09_23-54-29,22,True,12,88,2,qvthric xrvane dkzlor vqthic jxqvane thqric vrkzlor qvthric xrvane dkzlor vqthic jxqvane
2025-09-09_23-54-29,23,True,12,124,0,qwertyuiop asdfghjklz xcvmnbqwer plmnbvcxz qwertyui asdfghjkl qwertyuiop asdfghjklz xcvmnbqwer plmnbvcxz qwertyui asdfghjklz
