run_dir,id,ok,token_count,char_length
2025-09-09_23-54-29,1,True,11,78
2025-09-09_23-54-29,2,True,16,127
2025-09-09_23-54-29,3,True,5,34
2025-09-09_23-54-29,4,True,17,171
2025-09-09_23-54-29,5,False,10,91
2025-09-09_23-54-29,6,True,9,121
2025-09-09_23-54-29,7,True,16,159
2025-09-09_23-54-29,8,True,6,41
2025-09-09_23-54-29,9,False,14,111
2025-09-09_23-54-29,10,True,10,85
2025-09-09_23-54-29,11,True,16,143
2025-09-09_23-54-29,12,True,9,71
2025-09-09_23-54-29,13,True,11,87
2025-09-09_23-54-29,14,False,10,77
2025-09-09_23-54-29,15,True,5,43
2025-09-09_23-54-29,17,True,4,33
2025-09-09_23-54-29,16,True,13,106
2025-09-09_23-54-29,18,True,16,143
2025-09-09_23-54-29,19,False,14,111
2025-09-09_23-54-29,20,False,13,101
2025-09-09_23-54-29,21,True,6,47
2025-09-09_23-54-29,22,True,12,88
2025-09-09_23-54-29,23,True,12,124
2025-09-09_23-54-29,25,True,5,43
2025-09-09_23-54-29,24,False,7,56
2025-09-09_23-54-29,27,True,15,164
2025-09-09_23-54-29,28,True,9,71
2025-09-09_23-54-29,29,True,6,42
2025-09-09_23-54-29,30,True,7,56
2025-09-09_23-54-29,31,True,11,107
2025-09-09_23-54-29,32,True,5,44
2025-09-09_23-54-29,33,True,5,37
2025-09-09_23-54-29,34,True,6,52
2025-09-09_23-54-29,35,True,16,148
2025-09-09_23-54-29,36,True,18,179
2025-09-09_23-54-29,37,True,8,63
2025-09-09_23-54-29,38,False,13,116
2025-09-09_23-54-29,26,False,8,63
2025-09-09_23-54-29,39,False,13,90
2025-09-09_23-54-29,40,True,6,49
2025-09-09_23-54-29,41,True,15,134
2025-09-09_23-54-29,42,True,14,110
2025-09-09_23-54-29,43,False,12,95
2025-09-09_23-54-29,44,True,8,87
2025-09-09_23-54-29,45,False,17,135
2025-09-09_23-54-29,46,True,6,65
2025-09-09_23-54-29,47,True,12,107
2025-09-09_23-54-29,48,False,13,116
2025-09-09_23-54-29,49,True,12,95
2025-09-09_23-54-29,50,True,16,175
2025-09-09_23-54-29,51,True,12,107
2025-09-09_23-54-29,52,True,4,33
2025-09-09_23-54-29,54,True,5,39
2025-09-09_23-54-29,53,False,15,108
