id,strategy,tokens,latency
2,base,71,1.0451482499483973
2,tsce,14,0.0
2,cot,21,0.8335131250787526
2,ct,14,1.1839814169798046
2,ref,14,0.680791666964069
2,rt,14,1.023055833997205
3,base,71,0.7540962499333546
3,tsce,14,0.0
3,cot,21,0.9346452089957893
3,ct,14,1.193367833038792
3,ref,14,0.7637703749351203
3,rt,14,1.1923437080113217
6,base,114,0.9813545410288498
6,tsce,105,0.0
6,cot,92,1.3553534999955446
6,ct,105,2.49015704204794
6,ref,6,1.5224081660853699
6,rt,105,2.5002042499836534
7,base,34,0.48163150006439537
7,tsce,5,0.0
7,cot,5,0.18800062499940395
7,ct,5,1.568374542053789
7,ref,5,0.23700270906556398
7,rt,5,0.48552595800720155
4,base,37,0.6649006659863517
4,tsce,5,0.0
4,cot,12,2.8035400829976425
4,ct,5,0.8954170839861035
4,ref,5,0.6805277910316363
4,rt,5,1.1770460420520976
5,base,103,0.9966684590326622
5,tsce,44,0.0
5,cot,43,0.9274832919472829
5,ct,44,1.4982822911115363
5,ref,44,0.9806708330288529
5,rt,44,1.5890831249998882
1,base,123,0.6925740420119837
1,tsce,118,0.0
1,cot,64,1.2756317079765722
1,ct,118,2.601180624915287
1,ref,6,2.0124001250369474
1,rt,118,2.761314333998598
9,base,34,0.19455566606484354
9,tsce,5,0.0
9,cot,5,0.22712354105897248
9,ct,5,0.5050073750317097
9,ref,5,0.24095004110131413
9,rt,5,0.43238216591998935
10,base,71,0.3509347919607535
10,tsce,14,0.0
10,cot,21,0.33275745797436684
10,ct,14,0.6105565000325441
10,ref,14,0.33378854196053
10,rt,14,0.6992787920171395
11,base,71,0.26800637505948544
11,tsce,14,0.0
11,cot,21,0.36134058295283467
11,ct,14,0.7166648330166936
11,ref,14,0.2872195829404518
11,rt,14,0.5227439170703292
12,base,69,0.24982133298180997
12,tsce,14,0.0
12,cot,21,0.3946824170416221
12,ct,14,0.6365492079639807
12,ref,14,0.35379774996545166
12,rt,14,0.5841437919298187
13,base,71,0.26331850001588464
13,tsce,14,0.0
13,cot,21,0.3801720830379054
13,ct,14,0.6647740000626072
13,ref,14,0.31305400002747774
13,rt,14,0.6345487500075251
15,base,71,0.29702920897398144
15,tsce,14,0.0
15,cot,21,0.39176041702739894
15,ct,14,0.6434917090227827
15,ref,14,0.3340864999918267
15,rt,14,0.6443663749378175
19,base,71,0.2922546250047162
19,tsce,14,0.0
19,cot,21,0.42461354192346334
19,ct,14,0.5944050829857588
19,ref,14,0.26584433298557997
19,rt,14,0.4969069170765579
20,base,69,0.2665264999959618
20,tsce,14,0.0
20,cot,21,0.3762962910113856
20,ct,14,0.6455978750018403
20,ref,14,0.28025766694918275
20,rt,14,0.5243410419207066
17,base,37,0.2589450000086799
17,tsce,5,0.0
17,cot,33,2.625235875020735
17,ct,5,0.43200195801910013
17,ref,5,0.22504208399914205
17,rt,5,0.44897475000470877
21,base,71,0.29512237501330674
21,tsce,14,0.0
21,cot,22,0.3171573340659961
21,ct,14,0.6085494580911472
21,ref,14,0.26462599996011704
21,rt,14,0.6635220838943496
22,base,71,0.32823137496598065
22,tsce,14,0.0
22,cot,21,0.3115509169874713
22,ct,14,0.6270084159914404
22,ref,14,0.34390024992171675
22,rt,14,0.5732897080015391
16,base,128,0.2693079999880865
16,tsce,9,0.0
16,cot,29,3.8718299999600276
16,ct,9,3.530578542035073
16,ref,6,1.1823092909762636
16,rt,11,3.109598167007789
24,base,71,0.29650937498081475
24,tsce,14,0.0
24,cot,21,0.37915312498807907
24,ct,14,0.6539329999359325
24,ref,14,0.2640317919431254
24,rt,14,0.5721379170427099
14,base,109,0.24934945802669972
14,tsce,88,0.0
14,cot,6,2.0103605000767857
14,ct,20,4.5001668750774115
14,ref,6,1.2143941670656204
14,rt,13,3.0553159589180723
8,base,165,0.6231081250589341
8,tsce,60,0.0
8,cot,60,6.489569375058636
8,ct,60,6.064834084012546
8,ref,60,3.2862269580364227
8,rt,60,4.190904417075217
18,base,123,0.28214604198001325
18,tsce,158,0.0
18,cot,12,2.7653455410618335
18,ct,21,3.7081994169857353
18,ref,9,1.2725217080442235
18,rt,26,4.367408249992877
27,base,105,0.4528335409704596
27,tsce,44,0.0
27,cot,44,0.5794872919796035
27,ct,44,0.9910522499121726
27,ref,37,0.3764866250567138
27,rt,44,1.0727324999170378
30,base,106,0.5245437079574913
30,tsce,44,0.0
30,cot,43,0.6100323749706149
30,ct,44,1.1038414579816163
30,ref,42,0.5324755840701982
30,rt,44,1.1524766250513494
31,base,71,0.26043333404231817
31,tsce,14,0.0
31,cot,21,0.39053137495648116
31,ct,14,0.6428382910089567
31,ref,14,0.27684916590806097
31,rt,14,0.6482620830647647
32,base,37,0.29862274997867644
32,tsce,5,0.0
32,cot,5,0.19377900008112192
32,ct,5,0.4440101250074804
32,ref,5,0.21259195799939334
32,rt,5,0.4919632920064032
26,base,167,0.6370377079583704
26,tsce,62,0.0
26,cot,57,4.312444416922517
26,ct,62,54.27118104195688
26,ref,57,3.1313388750422746
26,rt,62,4.027597957989201
23,base,813,2.0008014170452952
23,tsce,139,0.0
23,cot,28,54.957028541946784
23,ct,256,56.98471091594547
23,ref,256,55.848316584015265
23,rt,256,59.86303608294111
34,base,160,0.7472474169917405
34,tsce,55,0.0
34,cot,55,4.553727166028693
34,ct,55,4.760614625061862
34,ref,55,2.9857985840644687
34,rt,55,3.474050624994561
36,base,105,0.4973110411083326
36,tsce,44,0.0
36,cot,43,0.48780366592109203
36,ct,44,0.9740417919820175
36,ref,43,0.5416526249609888
36,rt,44,0.9782368340529501
35,base,107,0.23393099999520928
35,tsce,9,0.0
35,cot,54,0.7028589169494808
35,ct,84,1.5998011250048876
35,ref,6,1.201708749984391
35,rt,9,1.1194589160149917
29,base,813,2.0103577080881223
29,tsce,139,0.0
29,cot,33,54.671492625027895
29,ct,56,56.36729404202197
29,ref,256,56.32048624998424
29,rt,256,60.83282020792831
38,base,101,0.5093238330446184
38,tsce,44,0.0
38,cot,38,0.4816571249393746
38,ct,44,1.137829125043936
38,ref,43,0.49489912495482713
38,rt,44,1.1566109579289332
33,base,813,1.953857124899514
33,tsce,488,0.0
33,cot,21,58.21237729198765
33,ct,38,54.8644322080072
33,ref,247,58.41096624999773
33,rt,256,58.83724424999673
41,base,105,0.6409952499670908
41,tsce,44,0.0
41,cot,44,0.7426610830007121
41,ct,44,1.446828749962151
41,ref,45,0.5979904590640217
41,rt,44,0.9289459999417886
25,base,813,1.8466168750310317
25,tsce,139,0.0
25,cot,24,53.41531987499911
25,ct,193,63.97458562499378
25,ref,256,58.87381912500132
25,rt,256,58.0040605829563
39,base,115,0.24880320800002664
39,tsce,101,0.0
39,cot,73,0.7058623329503462
39,ct,101,2.0153196670580655
39,ref,6,1.134703250019811
39,rt,101,2.5873244169633836
28,base,813,4.277916750055738
28,tsce,488,0.0
28,cot,28,53.18405879102647
28,ct,256,58.64818054100033
28,ref,247,58.298532874905504
28,rt,256,64.33079316606745
43,base,100,0.23111462499946356
43,tsce,8,0.0
43,cot,46,0.5507483329856768
43,ct,8,1.0011817920021713
43,ref,6,0.2299837920581922
43,rt,8,1.1001557089621201
44,base,107,0.22401533310767263
44,tsce,47,0.0
44,cot,55,0.5865867079701275
44,ct,6,1.3745805829530582
44,ref,6,1.3778894999995828
44,rt,47,1.0892118329647928
46,base,71,0.2815125420456752
46,tsce,14,0.0
46,cot,21,0.38671829202212393
46,ct,14,0.6326937910635024
46,ref,14,0.2737984580453485
46,rt,14,0.5095283340197057
37,base,115,0.272324041929096
37,tsce,103,0.0
37,cot,66,5.607256333925761
37,ct,15,3.7695005000568926
37,ref,6,2.2215121251065284
37,rt,13,2.9677081250119954
45,base,105,0.5539664169773459
45,tsce,44,0.0
45,cot,44,0.4844592079753056
45,ct,44,1.084219792042859
45,ref,37,1.4019120000302792
45,rt,44,1.1899821670958772
49,base,105,0.5763719170354307
49,tsce,44,0.0
49,cot,43,0.5435732090845704
49,ct,44,1.0928134159184992
49,ref,44,0.561419083038345
49,rt,44,1.308584582991898
51,base,105,0.5074372079689056
51,tsce,44,0.0
51,cot,43,46.02942754200194
51,ct,44,46.67353362508584
51,ref,45,46.01386104198173
51,rt,44,46.718185500008985
42,base,169,0.5709563340060413
42,tsce,63,0.0
42,cot,63,50.6774323330028
42,ct,63,50.57227924990002
42,ref,63,50.3340315829264
42,rt,63,3.0570324580185115
48,base,122,0.22105849999934435
48,tsce,14,0.0
48,cot,11,49.18946320808027
48,ct,7,48.37860704201739
48,ref,8,47.54091070801951
48,rt,18,48.70658466592431
53,base,71,0.30938099999912083
53,tsce,14,0.0
53,cot,21,0.3800716249970719
53,ct,14,0.6206726250238717
53,ref,14,0.33270270901266485
53,rt,14,0.5417529169935733
54,base,100,0.46308208303526044
54,tsce,44,0.0
54,cot,43,0.5615714170271531
54,ct,44,1.0875487920129672
54,ref,43,0.6341071659699082
54,rt,44,1.347199875046499
47,base,168,0.6474468749947846
47,tsce,61,0.0
47,cot,61,50.69023299997207
47,ct,61,50.528396417037584
47,ref,62,48.281180499936454
47,rt,61,49.95099908299744
55,base,37,0.19119070807937533
55,tsce,5,0.0
55,cot,11,1.9595908330520615
55,ct,5,0.4385718749836087
55,ref,5,0.3833146250108257
55,rt,5,0.5621280419873074
50,base,167,0.9214453749591485
50,tsce,61,0.0
50,cot,61,51.12374620803166
50,ct,61,51.656315958010964
50,ref,61,49.77183862507809
50,rt,61,50.39097820792813
58,base,105,0.7144194169668481
58,tsce,44,0.0
58,cot,43,0.45379929209593683
58,ct,44,1.0812110000988469
58,ref,43,0.47543695801869035
58,rt,44,0.9866787909995764
52,base,164,0.6989889169344679
52,tsce,58,0.0
52,cot,58,4.2644494590349495
52,ct,58,5.190394208999351
52,ref,58,3.7306141250301152
52,rt,58,4.145164915942587
56,base,109,0.2465305409859866
56,tsce,82,0.0
56,cot,6,2.1843133750371635
56,ct,24,3.1212843330577016
56,ref,6,1.1529572500148788
56,rt,13,2.7159352500457317
60,base,104,0.555222750059329
60,tsce,44,0.0
60,cot,43,0.47232408297713846
60,ct,44,1.0956927080405876
60,ref,44,0.4750965420389548
60,rt,44,1.18606112501584
40,base,813,2.4546976250130683
40,tsce,487,0.0
40,cot,184,55.609377916902304
40,ct,55,54.15096816595178
40,ref,247,58.17930204200093
40,rt,256,57.33178604103159
62,base,34,0.28095616691280156
62,tsce,5,0.0
62,cot,5,0.24022112495731562
62,ct,5,0.5768860829994082
62,ref,5,0.2209897079737857
62,rt,5,0.41673358401749283
64,base,71,0.31235975003801286
64,tsce,14,0.0
64,cot,21,1.0643925830954686
64,ct,14,0.6309201669646427
64,ref,14,0.2761621249374002
64,rt,14,0.522658042027615
66,base,34,0.3205843340838328
66,tsce,5,0.0
66,cot,5,0.23763895907904953
66,ct,5,0.47855691600125283
66,ref,5,0.22356633294839412
66,rt,5,0.47288366698194295
61,base,114,0.25666804204229265
61,tsce,101,0.0
61,cot,72,0.6407051659189165
61,ct,110,2.3362457919865847
61,ref,6,1.134226999944076
61,rt,101,2.4287024170625955
63,base,100,0.2205300839850679
63,tsce,35,0.0
63,cot,55,0.5757386670447886
63,ct,76,2.1963543329620734
63,ref,6,1.902894250000827
63,rt,35,1.132244125008583
57,base,171,0.8615127910161391
57,tsce,63,0.0
57,cot,63,5.7977152079110965
57,ct,75,5.636390874977224
57,ref,63,1.9544149580178782
57,rt,63,4.4339724170276895
69,base,34,0.22223412501625717
69,tsce,5,0.0
69,cot,5,0.2238419159548357
69,ct,5,0.46799904201179743
69,ref,5,0.2218384169973433
69,rt,5,0.40342070907354355
71,base,71,0.2955175000242889
71,tsce,14,0.0
71,cot,21,0.3368600000394508
71,ct,14,0.6292418750235811
71,ref,14,0.2604423329466954
71,rt,14,0.6037790409754962
67,base,121,0.21818791702389717
67,tsce,111,0.0
67,cot,78,0.9106973329326138
67,ct,111,2.340176209108904
67,ref,6,1.1988528340589255
67,rt,111,2.0599967079469934
59,base,161,1.8665645830333233
59,tsce,58,0.0
59,cot,56,5.803136833012104
59,ct,63,6.016602749936283
59,ref,58,3.2202737079933286
59,rt,58,4.5406280000461265
73,base,71,0.29836012492887676
73,tsce,14,0.0
73,cot,21,0.36678854189813137
73,ct,14,0.6229134999448434
73,ref,14,0.36086229200009257
73,rt,14,0.5346707080025226
65,base,108,0.23479295801371336
65,tsce,97,0.0
65,cot,8,2.360529583063908
65,ct,22,53.07455495907925
65,ref,7,1.2779331660130993
65,rt,14,4.466052333009429
74,base,121,0.21159820805769414
74,tsce,8,0.0
74,cot,108,0.9989189580082893
74,ct,8,2.4478408750146627
74,ref,6,49.51422066707164
74,rt,8,1.4193654590053484
70,base,37,0.22445949993561953
70,tsce,5,0.0
70,cot,31,51.445720833027735
70,ct,5,0.4758866250049323
70,ref,5,0.16654958296567202
70,rt,5,0.41383429104462266
75,base,105,0.565007625031285
75,tsce,44,0.0
75,cot,44,0.708424917072989
75,ct,44,1.0494246250018477
75,ref,43,49.207804666948505
75,rt,44,1.0930249580414966
76,base,34,0.8153447910444811
76,tsce,5,0.0
76,cot,5,0.19165570801123977
76,ct,5,0.6298749590059742
76,ref,5,0.23492187494412065
76,rt,5,0.9641929999925196
79,base,107,0.29127533303108066
79,tsce,9,0.0
79,cot,57,0.6894830419914797
79,ct,9,1.181319541996345
79,ref,6,1.3764231669483706
79,rt,9,1.4941494580125436
80,base,71,0.2721313340589404
80,tsce,14,0.0
80,cot,21,1.481605250039138
80,ct,14,0.5292633330682293
80,ref,14,0.30059216590598226
80,rt,14,0.7234411250101402
72,base,115,0.20392066694330424
72,tsce,121,0.0
72,cot,6,50.51730933296494
72,ct,22,53.07388541602995
72,ref,6,1.2140214160317555
72,rt,14,51.645528374938294
83,base,101,0.4784931249450892
83,tsce,44,0.0
83,cot,44,0.5795079579111189
83,ct,44,1.0972348750801757
83,ref,45,0.600572417024523
83,rt,44,1.2645054160384461
82,base,71,0.31541508296504617
82,tsce,14,0.0
82,cot,21,0.3964213749859482
82,ct,14,0.5625165830133483
82,ref,14,0.27482895797584206
82,rt,14,0.7595584579976276
84,base,105,0.5875606670742854
84,tsce,44,0.0
84,cot,43,0.5528033330338076
84,ct,44,1.0572177920257673
84,ref,44,0.6743519580923021
84,rt,44,1.0660819170298055
85,base,105,0.48466291709337384
85,tsce,44,0.0
85,cot,44,0.5124912079190835
85,ct,44,1.0952533750096336
85,ref,43,0.48036495805718005
85,rt,44,1.0617230829084292
78,base,166,0.688937500002794
78,tsce,61,0.0
78,cot,61,4.613674333086237
78,ct,61,5.508322957903147
78,ref,61,3.7475247079273686
78,rt,61,2.732675833045505
77,base,166,0.622960582957603
77,tsce,62,0.0
77,cot,63,4.611589209060185
77,ct,62,5.655751583981328
77,ref,58,3.1042086660163477
77,rt,62,2.1324109580600634
86,base,108,0.27385466708801687
86,tsce,81,0.0
86,cot,50,0.623719249968417
86,ct,74,1.4524667500518262
86,ref,6,1.0918093749787658
86,rt,15,1.0684608329320326
89,base,108,0.21530379203613847
89,tsce,9,0.0
89,cot,54,0.6418372089974582
89,ct,9,1.0110592499841005
89,ref,6,1.0626443750225008
89,rt,9,1.1443727919831872
88,base,105,0.49985483300406486
88,tsce,44,0.0
88,cot,43,1.5106075420044363
88,ct,44,1.2535408330149949
88,ref,44,0.5348337909672409
88,rt,44,1.103713707998395
91,base,71,0.28734170796815306
91,tsce,14,0.0
91,cot,21,0.3581319999648258
91,ct,14,0.6148874170612544
91,ref,14,0.3420899590710178
91,rt,14,0.5273725000442937
81,base,165,0.7635452919639647
81,tsce,58,0.0
81,cot,59,4.835419000010006
81,ct,58,5.973067250102758
81,ref,57,2.9514296669512987
81,rt,58,4.296826208010316
68,base,813,1.9895484580192715
68,tsce,487,0.0
68,cot,19,56.82654487492982
68,ct,49,56.164076957968064
68,ref,256,57.519361500046216
68,rt,256,59.98506437498145
92,base,105,0.5721016250317916
92,tsce,44,0.0
92,cot,43,0.5189504580339417
92,ct,44,1.0455996659584343
92,ref,44,0.6125983749516308
92,rt,44,1.0030275410972536
90,base,37,0.22906695806887
90,tsce,5,0.0
90,cot,12,1.9782241670181975
90,ct,5,0.44079087499994785
90,ref,5,0.2582709579728544
90,rt,5,0.43146729096770287
96,base,71,0.3078172500245273
96,tsce,14,0.0
96,cot,21,0.33546479197684675
96,ct,14,0.6209917919477448
96,ref,14,0.3013297909637913
96,rt,14,0.6127459589624777
94,base,108,0.17029558401554823
94,tsce,69,0.0
94,cot,77,0.6832194579765201
94,ct,69,1.3613881659694016
94,ref,7,1.439481916022487
94,rt,69,1.7180443750694394
87,base,121,0.22022695804480463
87,tsce,8,0.0
87,cot,6,2.1522893339861184
87,ct,32,4.282415791996755
87,ref,6,1.3815381249878556
87,rt,8,2.3117823329521343
98,base,71,0.2829709160141647
98,tsce,14,0.0
98,cot,21,0.3387673330726102
98,ct,14,0.6260823749471456
98,ref,14,0.2916587090585381
98,rt,14,0.9117595840943977
97,base,98,0.5540999169461429
97,tsce,44,0.0
97,cot,43,0.45186387503053993
97,ct,44,1.1122635829960927
97,ref,45,0.4880472080549225
97,rt,44,1.1121314169140533
93,base,159,0.5591100000310689
93,tsce,56,0.0
93,cot,56,5.177653708029538
93,ct,134,2.431811915943399
93,ref,56,3.2879161660093814
93,rt,56,1.9678981660399586
95,base,159,0.7459332080325112
95,tsce,58,0.0
95,cot,59,4.863492541946471
