id,strategy,tokens,latency
6,base,71,0.7455724170431495
6,tsce0,17,0.0
6,tsce05,14,0.0
6,tsce1,14,0.0
4,base,100,0.9633219159441069
4,tsce0,47,0.0
4,tsce05,65,0.0
4,tsce1,67,0.0
1,base,104,1.2235205000033602
1,tsce0,40,0.0
1,tsce05,40,0.0
1,tsce1,40,0.0
2,base,165,1.097908208030276
2,tsce0,56,0.0
2,tsce05,56,0.0
2,tsce1,56,0.0
5,base,163,1.0097548749763519
5,tsce0,56,0.0
5,tsce05,56,0.0
5,tsce1,56,0.0
7,base,168,0.7830027920426801
7,tsce0,63,0.0
7,tsce05,60,0.0
7,tsce1,60,0.0
9,base,107,0.1658449589740485
9,tsce0,81,0.0
9,tsce05,79,0.0
9,tsce1,83,0.0
8,base,116,0.18829604098573327
8,tsce0,94,0.0
8,tsce05,62,0.0
8,tsce1,60,0.0
3,base,115,0.6720414999872446
3,tsce0,79,0.0
3,tsce05,79,0.0
3,tsce1,110,0.0
11,base,105,0.5847981249680743
11,tsce0,40,0.0
11,tsce05,40,0.0
11,tsce1,40,0.0
10,base,104,0.5034606669796631
10,tsce0,40,0.0
10,tsce05,40,0.0
10,tsce1,40,0.0
12,base,122,0.19812116702087224
12,tsce0,100,0.0
12,tsce05,77,0.0
12,tsce1,77,0.0
14,base,155,0.5552173750475049
14,tsce0,55,0.0
14,tsce05,57,0.0
14,tsce1,57,0.0
16,base,114,0.22048654197715223
16,tsce0,117,0.0
16,tsce05,95,0.0
16,tsce1,95,0.0
18,base,71,0.309164666919969
18,tsce0,12,0.0
18,tsce05,18,0.0
18,tsce1,14,0.0
13,base,167,0.8803967089625075
13,tsce0,60,0.0
13,tsce05,60,0.0
13,tsce1,62,0.0
17,base,129,0.2670208750059828
17,tsce0,123,0.0
17,tsce05,90,0.0
17,tsce1,90,0.0
15,base,157,0.6416735840030015
15,tsce0,55,0.0
15,tsce05,55,0.0
15,tsce1,55,0.0
22,base,105,0.5152461250545457
22,tsce0,40,0.0
22,tsce05,40,0.0
22,tsce1,40,0.0
20,base,114,0.242063541081734
20,tsce0,93,0.0
20,tsce05,98,0.0
20,tsce1,76,0.0
23,base,71,0.25326270796358585
23,tsce0,14,0.0
23,tsce05,14,0.0
23,tsce1,14,0.0
24,base,71,0.2742868330096826
24,tsce0,14,0.0
24,tsce05,14,0.0
24,tsce1,18,0.0
19,base,106,0.6768288330640644
19,tsce0,40,0.0
19,tsce05,40,0.0
19,tsce1,40,0.0
29,base,37,0.2696623749798164
29,tsce0,5,0.0
29,tsce05,5,0.0
29,tsce1,5,0.0
21,base,105,0.5287990840151906
21,tsce0,40,0.0
21,tsce05,40,0.0
21,tsce1,40,0.0
27,base,106,0.6257420829497278
27,tsce0,40,0.0
27,tsce05,40,0.0
27,tsce1,40,0.0
25,base,162,0.785852542030625
25,tsce0,57,0.0
25,tsce05,57,0.0
25,tsce1,57,0.0
26,base,170,0.6664807499619201
26,tsce0,63,0.0
26,tsce05,63,0.0
26,tsce1,63,0.0
28,base,172,0.7629523340146989
28,tsce0,63,0.0
28,tsce05,63,0.0
28,tsce1,63,0.0
33,base,71,0.3007434169994667
33,tsce0,14,0.0
33,tsce05,14,0.0
33,tsce1,14,0.0
31,base,161,0.6633637089980766
31,tsce0,57,0.0
31,tsce05,57,0.0
31,tsce1,57,0.0
32,base,105,0.4859838749980554
32,tsce0,40,0.0
32,tsce05,40,0.0
32,tsce1,40,0.0
34,base,161,0.7619079999858513
34,tsce0,55,0.0
34,tsce05,55,0.0
34,tsce1,56,0.0
37,base,114,0.22943829197902232
37,tsce0,67,0.0
37,tsce05,65,0.0
37,tsce1,85,0.0
38,base,162,0.702336166985333
38,tsce0,57,0.0
38,tsce05,55,0.0
38,tsce1,57,0.0
41,base,71,0.30270374997053295
41,tsce0,14,0.0
41,tsce05,16,0.0
41,tsce1,18,0.0
39,base,165,0.642451332998462
39,tsce0,61,0.0
39,tsce05,61,0.0
39,tsce1,61,0.0
42,base,34,0.20837545802351087
42,tsce0,5,0.0
42,tsce05,5,0.0
42,tsce1,5,0.0
43,base,34,0.22730220796074718
43,tsce0,5,0.0
43,tsce05,5,0.0
43,tsce1,5,0.0
40,base,162,0.50831266597379
40,tsce0,56,0.0
40,tsce05,56,0.0
40,tsce1,56,0.0
45,base,37,0.26300845900550485
45,tsce0,5,0.0
45,tsce05,5,0.0
45,tsce1,5,0.0
44,base,115,0.27060491603333503
44,tsce0,75,0.0
44,tsce05,65,0.0
44,tsce1,88,0.0
46,base,71,0.2616912500234321
46,tsce0,14,0.0
46,tsce05,14,0.0
46,tsce1,15,0.0
47,base,114,0.21207091701216996
47,tsce0,88,0.0
47,tsce05,88,0.0
47,tsce1,101,0.0
49,base,71,0.3751826669322327
49,tsce0,14,0.0
49,tsce05,18,0.0
49,tsce1,14,0.0
48,base,104,0.5291768329916522
48,tsce0,40,0.0
48,tsce05,40,0.0
48,tsce1,40,0.0
30,base,813,2.3446154589764774
30,tsce0,512,0.0
30,tsce05,486,0.0
30,tsce1,142,0.0
51,base,108,0.2667609580093995
51,tsce0,73,0.0
51,tsce05,78,0.0
51,tsce1,73,0.0
35,base,813,2.454526333953254
35,tsce0,486,0.0
35,tsce05,486,0.0
35,tsce1,487,0.0
53,base,105,1.0615386669524014
53,tsce0,40,0.0
53,tsce05,40,0.0
53,tsce1,40,0.0
55,base,75,0.33472412498667836
55,tsce0,14,0.0
55,tsce05,16,0.0
55,tsce1,16,0.0
36,base,813,2.3336615830194205
36,tsce0,468,0.0
36,tsce05,512,0.0
36,tsce1,512,0.0
50,base,121,0.2732851249165833
50,tsce0,110,0.0
50,tsce05,142,0.0
50,tsce1,115,0.0
54,base,105,0.5927810409339145
54,tsce0,40,0.0
54,tsce05,40,0.0
54,tsce1,40,0.0
59,base,106,0.5075185410678387
59,tsce0,40,0.0
59,tsce05,40,0.0
59,tsce1,40,0.0
58,base,105,0.6115282910177484
58,tsce0,40,0.0
58,tsce05,40,0.0
58,tsce1,40,0.0
57,base,122,0.2276407500030473
57,tsce0,117,0.0
57,tsce05,134,0.0
57,tsce1,149,0.0
61,base,34,0.2118436669697985
61,tsce0,5,0.0
61,tsce05,5,0.0
61,tsce1,5,0.0
60,base,106,0.5996173330349848
60,tsce0,40,0.0
60,tsce05,40,0.0
60,tsce1,40,0.0
65,base,37,0.21143020899035037
65,tsce0,5,0.0
65,tsce05,5,0.0
65,tsce1,5,0.0
62,base,167,1.3796044579939917
62,tsce0,60,0.0
62,tsce05,60,0.0
62,tsce1,60,0.0
66,base,71,0.3099853340536356
66,tsce0,18,0.0
66,tsce05,16,0.0
66,tsce1,16,0.0
67,base,109,0.23835795908235013
67,tsce0,74,0.0
67,tsce05,75,0.0
67,tsce1,56,0.0
63,base,164,0.6359201249433681
63,tsce0,59,0.0
63,tsce05,59,0.0
63,tsce1,59,0.0
52,base,813,2.1952904160134494
52,tsce0,486,0.0
52,tsce05,149,0.0
52,tsce1,487,0.0
69,base,71,0.2773130830610171
69,tsce0,12,0.0
69,tsce05,16,0.0
69,tsce1,12,0.0
68,base,37,0.234020333038643
68,tsce0,5,0.0
68,tsce05,5,0.0
68,tsce1,5,0.0
70,base,106,0.5394919160753489
70,tsce0,40,0.0
70,tsce05,40,0.0
70,tsce1,40,0.0
72,base,71,0.3147694169310853
72,tsce0,14,0.0
72,tsce05,16,0.0
72,tsce1,16,0.0
71,base,105,0.5771163330646232
71,tsce0,40,0.0
71,tsce05,40,0.0
71,tsce1,40,0.0
56,base,813,2.5553715829737484
56,tsce0,486,0.0
56,tsce05,486,0.0
56,tsce1,484,0.0
73,base,71,0.2928909590700641
73,tsce0,18,0.0
73,tsce05,16,0.0
73,tsce1,14,0.0
75,base,71,0.30907433305401355
75,tsce0,12,0.0
75,tsce05,14,0.0
75,tsce1,14,0.0
76,base,71,0.2961890409933403
76,tsce0,12,0.0
76,tsce05,14,0.0
76,tsce1,14,0.0
78,base,104,0.5572728329570964
78,tsce0,40,0.0
78,tsce05,40,0.0
78,tsce1,40,0.0
77,base,107,0.2654182920232415
77,tsce0,74,0.0
77,tsce05,74,0.0
77,tsce1,74,0.0
74,base,116,0.2171891670441255
74,tsce0,60,0.0
74,tsce05,82,0.0
74,tsce1,60,0.0
80,base,71,0.308418917004019
80,tsce0,14,0.0
80,tsce05,14,0.0
80,tsce1,16,0.0
79,base,159,0.5910642920061946
79,tsce0,55,0.0
79,tsce05,55,0.0
79,tsce1,55,0.0
81,base,122,0.2580102910287678
81,tsce0,82,0.0
81,tsce05,84,0.0
81,tsce1,85,0.0
82,base,171,0.688141499995254
82,tsce0,63,0.0
82,tsce05,61,0.0
82,tsce1,61,0.0
83,base,167,0.6841667500557378
83,tsce0,62,0.0
83,tsce05,60,0.0
83,tsce1,60,0.0
86,base,34,0.2424977079499513
86,tsce0,5,0.0
86,tsce05,5,0.0
86,tsce1,5,0.0
64,base,813,2.949457374983467
64,tsce0,486,0.0
64,tsce05,486,0.0
64,tsce1,486,0.0
85,base,105,0.4883328750729561
85,tsce0,40,0.0
85,tsce05,40,0.0
85,tsce1,44,0.0
84,base,123,0.25068070797715336
84,tsce0,76,0.0
84,tsce05,94,0.0
84,tsce1,98,0.0
91,base,71,0.29510895791463554
91,tsce0,17,0.0
91,tsce05,14,0.0
91,tsce1,12,0.0
90,base,71,0.2834289580350742
90,tsce0,14,0.0
90,tsce05,14,0.0
90,tsce1,16,0.0
88,base,108,0.23186629195697606
88,tsce0,84,0.0
88,tsce05,98,0.0
88,tsce1,111,0.0
87,base,169,0.681632166961208
87,tsce0,62,0.0
87,tsce05,62,0.0
87,tsce1,62,0.0
96,base,100,0.23039816599339247
96,tsce0,88,0.0
96,tsce05,39,0.0
96,tsce1,47,0.0
95,base,107,0.18279841588810086
95,tsce0,85,0.0
95,tsce05,78,0.0
95,tsce1,114,0.0
92,base,166,0.6414194579701871
92,tsce0,61,0.0
92,tsce05,59,0.0
92,tsce1,61,0.0
94,base,107,0.1811699999962002
94,tsce0,92,0.0
94,tsce05,100,0.0
94,tsce1,74,0.0
93,base,115,0.1929801250807941
93,tsce0,106,0.0
93,tsce05,91,0.0
93,tsce1,108,0.0
97,base,158,0.6428494160063565
97,tsce0,56,0.0
97,tsce05,56,0.0
97,tsce1,56,0.0
98,base,71,0.3116246670251712
98,tsce0,14,0.0
98,tsce05,15,0.0
98,tsce1,16,0.0
99,base,104,0.5479249999625608
99,tsce0,40,0.0
99,tsce05,40,0.0
99,tsce1,40,0.0
89,base,813,1.9431688750628382
89,tsce0,512,0.0
89,tsce05,149,0.0
89,tsce1,512,0.0
100,base,813,3.885476583032869
100,tsce0,149,0.0
100,tsce05,486,0.0
100,tsce1,487,0.0
