id,strategy,tokens,latency
4,base,105,0.8737137500429526
4,tsce0,44,0.0
4,tsce05,40,0.0
4,tsce1,40,0.0
2,base,71,1.0260046659968793
2,tsce0,14,0.0
2,tsce05,14,0.0
2,tsce1,14,0.0
1,base,162,1.0957232089713216
1,tsce0,58,0.0
1,tsce05,56,0.0
1,tsce1,56,0.0
3,base,115,0.6949023749912158
3,tsce0,105,0.0
3,tsce05,105,0.0
3,tsce1,105,0.0
9,base,71,0.3576045000227168
9,tsce0,14,0.0
9,tsce05,14,0.0
9,tsce1,16,0.0
8,base,107,0.23437987500801682
8,tsce0,75,0.0
8,tsce05,75,0.0
8,tsce1,75,0.0
6,base,165,1.377446374972351
6,tsce0,59,0.0
6,tsce05,59,0.0
6,tsce1,59,0.0
7,base,122,0.20234224991872907
7,tsce0,64,0.0
7,tsce05,64,0.0
7,tsce1,100,0.0
12,base,34,0.24027966591529548
12,tsce0,5,0.0
12,tsce05,5,0.0
12,tsce1,5,0.0
14,base,71,0.3261339170858264
14,tsce0,14,0.0
14,tsce05,14,0.0
14,tsce1,14,0.0
13,base,105,0.6464059170102701
13,tsce0,40,0.0
13,tsce05,40,0.0
13,tsce1,40,0.0
15,base,105,0.5307614589110017
15,tsce0,40,0.0
15,tsce05,40,0.0
15,tsce1,40,0.0
10,base,114,0.20635600003879517
10,tsce0,65,0.0
10,tsce05,89,0.0
10,tsce1,89,0.0
11,base,130,0.1997505408944562
11,tsce0,171,0.0
11,tsce05,194,0.0
11,tsce1,161,0.0
16,base,117,0.2331939999712631
16,tsce0,92,0.0
16,tsce05,93,0.0
16,tsce1,92,0.0
18,base,105,0.5979595839744434
18,tsce0,40,0.0
18,tsce05,40,0.0
18,tsce1,40,0.0
22,base,71,0.30289629101753235
22,tsce0,14,0.0
22,tsce05,16,0.0
22,tsce1,14,0.0
20,base,168,0.5911975409835577
20,tsce0,60,0.0
20,tsce05,60,0.0
20,tsce1,60,0.0
5,base,813,3.089957333053462
5,tsce0,486,0.0
5,tsce05,486,0.0
5,tsce1,486,0.0
19,base,100,1.3559168750653043
19,tsce0,64,0.0
19,tsce05,62,0.0
19,tsce1,60,0.0
25,base,34,0.3809259169502184
25,tsce0,5,0.0
25,tsce05,5,0.0
25,tsce1,5,0.0
21,base,167,0.6963779591023922
21,tsce0,60,0.0
21,tsce05,60,0.0
21,tsce1,60,0.0
24,base,71,0.3190368330106139
24,tsce0,14,0.0
24,tsce05,16,0.0
24,tsce1,16,0.0
26,base,71,0.2728751669637859
26,tsce0,14,0.0
26,tsce05,14,0.0
26,tsce1,14,0.0
23,base,105,0.5414980419445783
23,tsce0,40,0.0
23,tsce05,40,0.0
23,tsce1,40,0.0
31,base,105,0.5137381659587845
31,tsce0,40,0.0
31,tsce05,40,0.0
31,tsce1,40,0.0
29,base,173,0.8108161659911275
29,tsce0,62,0.0
29,tsce05,64,0.0
29,tsce1,64,0.0
30,base,163,0.6542128340806812
30,tsce0,57,0.0
30,tsce05,58,0.0
30,tsce1,57,0.0
28,base,163,0.6376572500448674
28,tsce0,55,0.0
28,tsce05,55,0.0
28,tsce1,55,0.0
32,base,37,0.23472879198379815
32,tsce0,5,0.0
32,tsce05,5,0.0
32,tsce1,5,0.0
34,base,37,0.21913016703911126
34,tsce0,5,0.0
34,tsce05,5,0.0
34,tsce1,5,0.0
37,base,37,0.25051029201131314
37,tsce0,5,0.0
37,tsce05,5,0.0
37,tsce1,5,0.0
36,base,105,0.6040559579851106
