id,strategy,tokens,latency
1,base,71,0.9480403749039397
1,tsce0,16,0.0
1,tsce05,14,0.0
1,tsce1,14,0.0
2,base,162,0.9751814169576392
2,tsce0,57,0.0
2,tsce05,57,0.0
2,tsce1,56,0.0
3,base,115,0.7789627079619095
3,tsce0,92,0.0
3,tsce05,92,0.0
3,tsce1,92,0.0
6,base,109,0.5527632500743493
6,tsce0,132,0.0
6,tsce05,126,0.0
6,tsce1,130,0.0
5,base,165,0.8733275829581544
5,tsce0,59,0.0
5,tsce05,59,0.0
5,tsce1,59,0.0
8,base,105,0.48148604191374034
8,tsce0,40,0.0
8,tsce05,40,0.0
8,tsce1,40,0.0
7,base,164,0.5572387499269098
7,tsce0,58,0.0
7,tsce05,58,0.0
7,tsce1,58,0.0
9,base,107,0.2598123330390081
9,tsce0,57,0.0
9,tsce05,57,0.0
9,tsce1,77,0.0
11,base,37,0.24945779098197818
11,tsce0,5,0.0
11,tsce05,5,0.0
11,tsce1,5,0.0
10,base,71,0.3530897500459105
10,tsce0,14,0.0
10,tsce05,14,0.0
10,tsce1,14,0.0
16,base,71,0.3145452499156818
16,tsce0,14,0.0
16,tsce05,14,0.0
16,tsce1,14,0.0
14,base,106,0.4861746249953285
14,tsce0,40,0.0
14,tsce05,40,0.0
14,tsce1,40,0.0
12,base,124,0.26136058394331485
12,tsce0,87,0.0
12,tsce05,99,0.0
12,tsce1,93,0.0
13,base,105,0.6999892080202699
13,tsce0,40,0.0
13,tsce05,40,0.0
13,tsce1,40,0.0
15,base,107,0.26779612503014505
15,tsce0,78,0.0
15,tsce05,78,0.0
15,tsce1,58,0.0
17,base,34,0.25253683305345476
17,tsce0,5,0.0
17,tsce05,5,0.0
17,tsce1,5,0.0
21,base,71,0.30021449993364513
21,tsce0,14,0.0
21,tsce05,14,0.0
21,tsce1,14,0.0
22,base,71,0.24814933305606246
22,tsce0,14,0.0
22,tsce05,14,0.0
22,tsce1,14,0.0
18,base,104,0.4930186669807881
18,tsce0,40,0.0
18,tsce05,40,0.0
18,tsce1,40,0.0
19,base,160,0.5543633749475703
19,tsce0,57,0.0
19,tsce05,57,0.0
19,tsce1,58,0.0
20,base,166,0.6386675419053063
20,tsce0,60,0.0
20,tsce05,60,0.0
20,tsce1,60,0.0
25,base,71,0.31461562495678663
25,tsce0,14,0.0
25,tsce05,16,0.0
25,tsce1,16,0.0
26,base,34,0.22813983401283622
26,tsce0,5,0.0
26,tsce05,5,0.0
26,tsce1,5,0.0
4,base,813,2.309916084050201
4,tsce0,486,0.0
