id,strategy,tokens,latency
3,base,34,0.6528856669319794
3,tsce0,5,0.0
3,tsce05,5,0.0
3,tsce1,5,0.0
1,base,105,1.0718076669145375
1,tsce0,40,0.0
1,tsce05,44,0.0
1,tsce1,37,0.0
5,base,166,1.2479962909128517
5,tsce0,59,0.0
5,tsce05,59,0.0
5,tsce1,64,0.0
7,base,105,0.4796143750427291
7,tsce0,40,0.0
7,tsce05,39,0.0
7,tsce1,39,0.0
4,base,105,1.010067458031699
4,tsce0,40,0.0
4,tsce05,39,0.0
4,tsce1,33,0.0
6,base,170,1.319100792054087
6,tsce0,63,0.0
6,tsce05,63,0.0
6,tsce1,64,0.0
9,base,105,0.6921654579928145
9,tsce0,40,0.0
9,tsce05,44,0.0
9,tsce1,33,0.0
8,base,170,0.6248655839590356
8,tsce0,61,0.0
8,tsce05,61,0.0
8,tsce1,64,0.0
12,base,165,0.7818759999936447
12,tsce0,58,0.0
12,tsce05,57,0.0
12,tsce1,58,0.0
10,base,107,0.25476670800708234
10,tsce0,56,0.0
10,tsce05,56,0.0
10,tsce1,76,0.0
11,base,109,0.24931175005622208
11,tsce0,82,0.0
11,tsce05,82,0.0
11,tsce1,82,0.0
13,base,167,0.67707741598133
13,tsce0,62,0.0
13,tsce05,60,0.0
13,tsce1,65,0.0
17,base,37,0.24895770894363523
17,tsce0,5,0.0
17,tsce05,5,0.0
17,tsce1,5,0.0
14,base,168,0.6511793340323493
14,tsce0,61,0.0
14,tsce05,61,0.0
14,tsce1,62,0.0
16,base,71,0.3205132919829339
16,tsce0,14,0.0
16,tsce05,27,0.0
16,tsce1,17,0.0
20,base,104,0.5280018750345334
20,tsce0,40,0.0
20,tsce05,40,0.0
20,tsce1,43,0.0
15,base,102,0.49614558299072087
15,tsce0,40,0.0
15,tsce05,33,0.0
15,tsce1,44,0.0
18,base,71,0.34007491695228964
18,tsce0,14,0.0
18,tsce05,14,0.0
18,tsce1,14,0.0
2,base,813,2.884015000076033
2,tsce0,486,0.0
2,tsce05,486,0.0
2,tsce1,488,0.0
21,base,116,0.2526979580288753
21,tsce0,90,0.0
21,tsce05,90,0.0
21,tsce1,90,0.0
23,base,162,0.7341782500734553
23,tsce0,55,0.0
23,tsce05,55,0.0
23,tsce1,55,0.0
22,base,107,0.22544758301228285
22,tsce0,74,0.0
22,tsce05,74,0.0
22,tsce1,74,0.0
24,base,108,0.31957133300602436
24,tsce0,63,0.0
24,tsce05,63,0.0
24,tsce1,64,0.0
27,base,123,0.25123795797117054
27,tsce0,103,0.0
27,tsce05,103,0.0
27,tsce1,103,0.0
26,base,105,0.6409962080651894
26,tsce0,40,0.0
26,tsce05,40,0.0
26,tsce1,44,0.0
29,base,71,0.32035862491466105
29,tsce0,14,0.0
29,tsce05,14,0.0
29,tsce1,21,0.0
28,base,104,0.5735307920258492
28,tsce0,40,0.0
28,tsce05,40,0.0
28,tsce1,44,0.0
19,base,813,2.5193762090057135
19,tsce0,486,0.0
19,tsce05,486,0.0
19,tsce1,487,0.0
30,base,161,0.759098207927309
30,tsce0,58,0.0
30,tsce05,56,0.0
30,tsce1,56,0.0
31,base,116,0.23483137506991625
31,tsce0,89,0.0
31,tsce05,89,0.0
31,tsce1,89,0.0
33,base,100,0.18426254100631922
33,tsce0,58,0.0
33,tsce05,58,0.0
33,tsce1,58,0.0
35,base,105,0.6157324999803677
35,tsce0,40,0.0
35,tsce05,39,0.0
35,tsce1,41,0.0
34,base,71,0.31623100000433624
34,tsce0,14,0.0
34,tsce05,14,0.0
34,tsce1,14,0.0
36,base,37,0.249828000087291
