id,strategy,tokens,latency
3,base,232,2.6573336659930646
3,tsce_diff,110,1.81
1,base,228,2.426563291810453
1,tsce_diff,127,2.63
2,base,244,2.143131250049919
2,tsce_diff,139,2.88
4,base,184,1.11781374970451
4,tsce_diff,68,1.3
6,base,148,2.172406333964318
6,tsce_diff,55,0.96
7,base,115,2.638081624638289
7,tsce_diff,91,2.18
5,base,235,1.9755906253121793
5,tsce_diff,173,4.5
8,base,178,2.6600033747963607
8,tsce_diff,84,2.3
9,base,172,1.2883001249283552
9,tsce_diff,72,1.84
10,base,144,1.7393149579875171
10,tsce_diff,108,2.0
12,base,151,1.8516933331266046
12,tsce_diff,84,3.29
13,base,132,1.4271324160508811
13,tsce_diff,78,1.9
11,base,151,1.435082457959652
11,tsce_diff,204,5.53
15,base,120,0.8050964158028364
15,tsce_diff,64,1.4
14,base,158,1.3037034166045487
14,tsce_diff,90,2.3
17,base,232,0.9437857079319656
17,tsce_diff,58,1.37
18,base,87,0.7890664581209421
18,tsce_diff,52,1.39
19,base,119,1.38039491744712
19,tsce_diff,80,1.8
20,base,215,1.936511458363384
20,tsce_diff,99,1.47
16,base,247,2.929634749889374
16,tsce_diff,139,4.68
22,base,107,0.9384219590574503
22,tsce_diff,40,1.03
21,base,147,1.4513830412179232
21,tsce_diff,87,2.63
23,base,176,2.0132715408690274
23,tsce_diff,94,2.19
25,base,105,0.9703056667931378
25,tsce_diff,48,1.36
24,base,238,1.8469518329948187
24,tsce_diff,113,2.47
26,base,158,2.5527218328788877
26,tsce_diff,92,2.51
27,base,213,1.531039500143379
27,tsce_diff,104,2.03
28,base,144,1.6541994577273726
28,tsce_diff,91,2.7
29,base,87,0.654014749918133
29,tsce_diff,50,1.32
31,base,88,0.882814624812454
31,tsce_diff,48,1.26
32,base,107,0.9902136670425534
32,tsce_diff,60,2.29
30,base,232,1.6491585420444608
30,tsce_diff,148,3.57
33,base,148,1.9869997082278132
33,tsce_diff,119,1.61
34,base,172,0.9253260833211243
34,tsce_diff,72,1.23
36,base,162,1.4155185837298632
36,tsce_diff,50,1.21
38,base,148,1.7323242081329226
38,tsce_diff,85,1.41
37,base,119,2.0658709998242557
37,tsce_diff,95,2.29
35,base,120,1.724217999726534
35,tsce_diff,183,3.81
39,base,88,0.6605730410665274
39,tsce_diff,42,0.84
40,base,119,1.1233485420234501
40,tsce_diff,87,1.85
41,base,152,1.179712750017643
41,tsce_diff,93,2.18
42,base,200,1.5993542498908937
42,tsce_diff,99,2.64
44,base,241,2.9759339997544885
44,tsce_diff,141,3.39
43,base,133,1.0319400001317263
43,tsce_diff,166,3.94
45,base,148,1.157436708919704
45,tsce_diff,84,3.18
47,base,109,0.7542634578421712
47,tsce_diff,43,1.12
46,base,120,0.6908419579267502
46,tsce_diff,139,2.89
48,base,245,2.2420583749189973
48,tsce_diff,132,2.1
50,base,142,0.9914753749035299
50,tsce_diff,59,1.26
49,base,204,2.8765667909756303
49,tsce_diff,125,2.95
51,base,132,2.111202208325267
51,tsce_diff,95,2.31
53,base,190,1.6662887083366513
53,tsce_diff,82,2.24
54,base,125,0.9730514576658607
54,tsce_diff,73,1.77
55,base,192,1.5032788342796266
55,tsce_diff,116,2.19
56,base,158,1.2170140417292714
56,tsce_diff,67,1.47
52,base,249,2.038094500079751
52,tsce_diff,239,5.24
57,base,87,0.8140286658890545
57,tsce_diff,50,1.14
59,base,172,1.031772792339325
59,tsce_diff,38,0.88
61,base,88,0.8582813329994678
61,tsce_diff,52,1.19
58,base,163,3.11453766701743
58,tsce_diff,69,1.28
60,base,120,1.7583380001597106
60,tsce_diff,108,2.24
62,base,128,1.6248768330551684
62,tsce_diff,73,1.62
64,base,226,0.8362299581058323
64,tsce_diff,58,1.34
65,base,148,1.119777999818325
65,tsce_diff,83,1.72
63,base,223,1.9707004590891302
63,tsce_diff,130,3.08
66,base,151,1.356939165852964
66,tsce_diff,95,1.97
67,base,172,0.8386274580843747
67,tsce_diff,53,1.44
69,base,163,0.8434084579348564
69,tsce_diff,49,1.0
68,base,260,1.56121183373034
68,tsce_diff,102,1.87
71,base,225,1.509216083213687
71,tsce_diff,96,2.23
70,base,159,1.0438180416822433
70,tsce_diff,88,2.36
72,base,198,2.680914292111993
72,tsce_diff,105,2.56
75,base,125,1.7045050826855004
75,tsce_diff,89,1.67
74,base,237,2.03539620898664
74,tsce_diff,185,3.38
73,base,245,3.83994795801118
73,tsce_diff,105,3.34
76,base,88,0.8129970422014594
76,tsce_diff,51,1.33
77,base,234,1.1027339999563992
77,tsce_diff,64,1.29
78,base,248,1.9610813749022782
78,tsce_diff,128,4.59
79,base,120,0.9237440843135118
79,tsce_diff,271,5.28
81,base,88,0.713714124634862
81,tsce_diff,56,1.29
82,base,111,1.066015959251672
82,tsce_diff,48,1.19
80,base,120,1.3393183751031756
80,tsce_diff,239,5.74
83,base,143,2.451084916945547
83,tsce_diff,94,1.4
84,base,230,0.688809999730438
84,tsce_diff,56,1.68
85,base,148,2.729242959059775
85,tsce_diff,103,2.03
86,base,165,2.248841166961938
86,tsce_diff,91,2.03
87,base,252,1.3635558332316577
87,tsce_diff,118,3.18
89,base,261,1.515562332700938
89,tsce_diff,98,2.25
90,base,88,0.9252431252971292
90,tsce_diff,57,1.27
88,base,243,3.2624864168465137
88,tsce_diff,160,3.64
92,base,107,1.3929396658204496
92,tsce_diff,46,1.83
91,base,215,1.4257977497763932
91,tsce_diff,111,2.69
94,base,87,0.7978458749130368
94,tsce_diff,51,1.31
93,base,183,3.91463612485677
93,tsce_diff,77,1.56
95,base,107,0.8375364998355508
95,tsce_diff,43,1.0
96,base,115,1.3733323751948774
96,tsce_diff,91,2.03
98,base,260,2.580577584449202
98,tsce_diff,117,2.37
100,base,138,1.2461116672493517
100,tsce_diff,95,1.81
97,base,231,2.2452438338659704
97,tsce_diff,177,4.8
99,base,263,3.275776958093047
99,tsce_diff,149,3.72
101,base,218,1.8502277079969645
101,tsce_diff,80,1.5
102,base,154,1.8925465000793338
102,tsce_diff,77,1.2
103,base,164,2.8641871670261025
103,tsce_diff,112,2.44
104,base,118,0.986152125056833
104,tsce_diff,95,2.42
105,base,255,2.387462208047509
105,tsce_diff,100,2.76
106,base,172,0.8921891660429537
106,tsce_diff,89,1.26
109,base,88,0.7385422908701003
109,tsce_diff,39,1.08
107,base,232,2.7088687499053776
107,tsce_diff,181,3.59
111,base,87,0.8151716249994934
111,tsce_diff,53,1.84
108,base,142,1.4033294171094894
108,tsce_diff,227,5.43
110,base,140,1.3832427086308599
110,tsce_diff,209,4.49
113,base,226,1.2850278750993311
113,tsce_diff,59,1.18
112,base,191,1.4776739170774817
112,tsce_diff,118,3.67
114,base,284,2.570487250108272
114,tsce_diff,133,3.49
116,base,111,0.9841996249742806
116,tsce_diff,51,1.19
115,base,182,1.8855225830338895
115,tsce_diff,107,3.31
118,base,172,1.2985118748620152
118,tsce_diff,61,1.14
117,base,151,2.3617259999737144
117,tsce_diff,106,3.08
119,base,119,1.6231233342550695
119,tsce_diff,94,2.85
120,base,119,1.629884125199169
120,tsce_diff,90,1.91
123,base,238,2.4235703330487013
123,tsce_diff,59,1.17
121,base,120,2.283685791771859
121,tsce_diff,208,3.68
124,base,116,1.4536447087302804
124,tsce_diff,81,1.61
122,base,203,2.3537832498550415
122,tsce_diff,185,4.57
125,base,189,2.596188166178763
125,tsce_diff,100,2.33
127,base,132,2.561513875145465
127,tsce_diff,74,1.47
126,base,116,1.5473174583166838
126,tsce_diff,94,2.24
128,base,148,1.1549070421606302
128,tsce_diff,97,1.99
129,base,107,0.8712131250649691
129,tsce_diff,50,0.99
131,base,197,1.369440957903862
131,tsce_diff,71,1.51
130,base,164,1.2237554169259965
130,tsce_diff,89,2.59
132,base,172,0.8029485843144357
132,tsce_diff,65,1.72
134,base,116,1.1017404170706868
134,tsce_diff,84,1.6
135,base,234,0.983647832646966
135,tsce_diff,69,2.13
133,base,161,1.43575633270666
133,tsce_diff,123,2.3
138,base,147,1.9375204578973353
138,tsce_diff,95,2.15
137,base,137,1.264980458188802
137,tsce_diff,77,2.18
136,base,144,1.4485600828193128
136,tsce_diff,142,2.99
140,base,88,0.8491287082433701
140,tsce_diff,50,1.37
139,base,154,1.3179043331183493
139,tsce_diff,72,2.33
141,base,117,3.0675276671536267
141,tsce_diff,76,2.4
142,base,230,1.1247545829974115
142,tsce_diff,55,1.71
144,base,143,1.3625014158897102
144,tsce_diff,99,1.42
143,base,120,1.1345246671698987
143,tsce_diff,76,2.06
145,base,148,1.4987495001405478
145,tsce_diff,85,2.13
146,base,252,1.326908125076443
146,tsce_diff,125,2.66
148,base,107,1.0585810421034694
148,tsce_diff,55,2.31
149,base,241,1.696132583077997
149,tsce_diff,64,1.46
150,base,172,0.7681777500547469
150,tsce_diff,79,1.71
147,base,229,3.161983124911785
147,tsce_diff,167,5.87
151,base,197,3.2293784162029624
151,tsce_diff,162,1.97
152,base,178,2.205750749912113
152,tsce_diff,146,2.48
154,base,138,0.8363062920980155
154,tsce_diff,78,1.21
153,base,234,3.103687208145857
153,tsce_diff,120,3.79
155,base,148,2.377367042005062
155,tsce_diff,95,2.6
156,base,195,2.480134792160243
156,tsce_diff,122,2.84
157,base,160,1.844622667413205
157,tsce_diff,80,1.99
158,base,105,1.5431815828196704
158,tsce_diff,48,1.4
159,base,118,1.6350938328541815
159,tsce_diff,60,1.8
160,base,143,1.9445736249908805
160,tsce_diff,105,2.32
162,base,88,0.7004284169524908
162,tsce_diff,49,1.08
161,base,148,3.9334010407328606
161,tsce_diff,108,2.62
163,base,236,1.2642696658149362
163,tsce_diff,62,2.04
164,base,107,0.8272266248241067
164,tsce_diff,63,1.67
165,base,237,1.1860485831275582
165,tsce_diff,55,1.29
166,base,107,1.1290713753551245
166,tsce_diff,48,1.04
167,base,215,2.179537917021662
167,tsce_diff,100,2.01
169,base,115,1.3686730829067528
169,tsce_diff,89,1.64
168,base,172,0.7938927076756954
168,tsce_diff,74,2.98
170,base,132,1.0569929997436702
170,tsce_diff,74,3.19
172,base,236,1.8328070002608001
172,tsce_diff,61,1.3
171,base,231,1.9170476668514311
171,tsce_diff,104,3.54
173,base,172,0.7236811248585582
173,tsce_diff,51,1.44
176,base,101,0.681496084202081
176,tsce_diff,55,1.38
174,base,120,0.867632791865617
174,tsce_diff,129,3.34
175,base,120,0.769266250077635
175,tsce_diff,149,3.86
177,base,172,2.7383586252108216
177,tsce_diff,61,1.26
178,base,161,1.1743716672062874
178,tsce_diff,107,2.48
179,base,152,1.670673375017941
179,tsce_diff,95,1.61
181,base,115,1.369518083985895
181,tsce_diff,85,1.67
182,base,229,1.284754083957523
182,tsce_diff,46,1.97
180,base,197,3.3503109589219093
180,tsce_diff,170,4.13
183,base,247,1.4126820829696953
183,tsce_diff,182,3.44
185,base,131,1.2119664158672094
185,tsce_diff,65,1.55
186,base,87,0.7456650827080011
186,tsce_diff,53,1.55
184,base,232,1.9330844171345234
184,tsce_diff,209,4.48
187,base,258,1.540876249782741
187,tsce_diff,141,3.6
189,base,226,1.527727167122066
189,tsce_diff,125,3.11
191,base,172,2.080537375062704
191,tsce_diff,40,1.35
188,base,120,2.3346443329937756
188,tsce_diff,260,6.18
190,base,191,4.79087800020352
190,tsce_diff,137,2.86
192,base,115,1.0225786669179797
192,tsce_diff,81,1.78
193,base,190,1.2863455000333488
193,tsce_diff,52,1.09
194,base,119,0.9038498750887811
194,tsce_diff,139,2.57
196,base,168,1.8912562909536064
196,tsce_diff,80,2.04
195,base,172,0.7255323342978954
195,tsce_diff,92,2.62
198,base,144,1.2221678332425654
198,tsce_diff,104,2.4
199,base,169,1.4811074999161065
199,tsce_diff,89,2.16
197,base,225,4.139532083179802
197,tsce_diff,145,4.6
200,base,120,1.7669376251287758
200,tsce_diff,111,2.77
202,base,115,0.9701730832457542
202,tsce_diff,63,1.29
201,base,204,3.886509040836245
201,tsce_diff,118,2.68
203,base,107,1.145432208199054
203,tsce_diff,55,2.01
205,base,132,1.3201079168356955
205,tsce_diff,76,1.77
204,base,200,2.6985605829395354
204,tsce_diff,185,3.88
208,base,229,0.9351246249862015
208,tsce_diff,50,1.14
207,base,136,1.073187124915421
207,tsce_diff,112,2.52
206,base,134,1.230046082753688
206,tsce_diff,115,3.65
210,base,88,0.7413351251743734
210,tsce_diff,36,0.81
209,base,196,2.132249040994793
209,tsce_diff,71,1.51
211,base,119,1.1809615828096867
211,tsce_diff,71,1.67
214,base,149,1.6404204578138888
214,tsce_diff,91,1.77
212,base,240,2.3016047501005232
212,tsce_diff,161,4.49
213,base,216,1.9797907089814544
213,tsce_diff,133,3.81
217,base,100,1.0899182078428566
217,tsce_diff,48,0.9
215,base,142,1.8116287919692695
215,tsce_diff,126,2.68
216,base,161,2.465041999705136
216,tsce_diff,105,2.51
219,base,132,1.4105963339097798
219,tsce_diff,111,2.79
218,base,121,1.1923526669852436
218,tsce_diff,106,3.02
220,base,136,1.4141400828957558
220,tsce_diff,81,1.71
223,base,158,1.527093708049506
223,tsce_diff,71,2.08
221,base,174,0.7969889170490205
221,tsce_diff,59,2.6
222,base,119,1.1474444577470422
222,tsce_diff,130,2.92
224,base,234,1.6875381250865757
224,tsce_diff,135,1.57
225,base,107,2.033763292245567
225,tsce_diff,58,1.28
226,base,301,3.6055376660078764
226,tsce_diff,167,3.11
227,base,120,1.031650708988309
227,tsce_diff,144,3.88
228,base,206,4.90239725029096
228,tsce_diff,115,2.39
