id,strategy,tokens,latency
3,base,166,1.7574520411435515
3,tsce1,60,0.0
4,base,71,0.20451441686600447
4,tsce1,14,0.0
2,base,165,1.688380624866113
2,tsce1,58,0.0
1,base,162,1.670159666100517
1,tsce1,56,0.0
5,base,105,0.5248563329223543
5,tsce1,40,0.0
6,base,71,0.27426354191266
6,tsce1,14,0.0
7,base,71,0.3870544999372214
7,tsce1,14,0.0
10,base,37,0.16984749981202185
10,tsce1,5,0.0
9,base,114,0.18670833390206099
9,tsce1,102,0.0
8,base,168,0.7045884998515248
8,tsce1,60,0.0
11,base,107,0.1920018750242889
11,tsce1,83,0.0
13,base,71,0.24653612496331334
13,tsce1,14,0.0
14,base,115,0.21778216701932251
14,tsce1,71,0.0
15,base,105,0.5375387920066714
15,tsce1,40,0.0
12,base,100,0.20617320807650685
12,tsce1,52,0.0
17,base,71,0.22947941697202623
17,tsce1,16,0.0
18,base,161,0.5294931249227375
18,tsce1,56,0.0
19,base,37,0.21032424992881715
19,tsce1,5,0.0
16,base,105,0.4427099172025919
16,tsce1,40,0.0
20,base,34,0.17999783298000693
20,tsce1,5,0.0
23,base,37,0.22055833390913904
23,tsce1,5,0.0
22,base,71,0.2761067501269281
22,tsce1,16,0.0
21,base,169,0.7516760828439146
21,tsce1,62,0.0
24,base,105,0.4999938749242574
24,tsce1,40,0.0
25,base,109,0.1947048748843372
25,tsce1,84,0.0
26,base,105,0.5052753330674022
26,tsce1,40,0.0
27,base,105,0.48979316698387265
27,tsce1,40,0.0
28,base,121,0.2468641248997301
28,tsce1,121,0.0
29,base,108,0.26480095786973834
29,tsce1,102,0.0
30,base,162,0.5878756248857826
30,tsce1,60,0.0
31,base,168,0.6031434999313205
31,tsce1,61,0.0
33,base,71,0.26042904099449515
33,tsce1,14,0.0
32,base,165,0.7555600409395993
32,tsce1,58,0.0
34,base,71,0.26527095795609057
34,tsce1,14,0.0
35,base,71,0.23297841614112258
35,tsce1,14,0.0
36,base,162,0.6462009998504072
36,tsce1,57,0.0
38,base,115,0.17999700014479458
38,tsce1,90,0.0
37,base,37,0.16821024985983968
37,tsce1,5,0.0
39,base,37,0.1530503339599818
39,tsce1,5,0.0
40,base,71,0.28694279096089303
40,tsce1,14,0.0
41,base,105,0.4970474159345031
41,tsce1,40,0.0
43,base,108,0.24943929095752537
43,tsce1,65,0.0
42,base,169,0.6363221248611808
42,tsce1,62,0.0
44,base,71,0.2668730409350246
44,tsce1,14,0.0
47,base,71,0.2871365409810096
47,tsce1,14,0.0
45,base,71,0.24123466690070927
45,tsce1,14,0.0
48,base,114,0.1992722910363227
48,tsce1,75,0.0
50,base,117,0.18486883281730115
50,tsce1,69,0.0
51,base,166,0.6662415410391986
51,tsce1,61,0.0
46,base,813,2.1439842919353396
46,tsce1,250,0.0
49,base,813,2.1505707500036806
49,tsce1,250,0.0
52,base,169,0.7183497080113739
52,tsce1,60,0.0
53,base,71,0.32327341684140265
53,tsce1,16,0.0
55,base,116,0.18611633288674057
55,tsce1,78,0.0
56,base,105,0.5040194590110332
56,tsce1,40,0.0
54,base,165,0.7419098331592977
54,tsce1,59,0.0
57,base,105,0.45793625013902783
57,tsce1,40,0.0
58,base,129,0.3246661250013858
58,tsce1,127,0.0
59,base,165,0.6430764170363545
59,tsce1,58,0.0
60,base,71,0.3350188329350203
60,tsce1,14,0.0
63,base,71,0.36459950008429587
63,tsce1,14,0.0
61,base,129,0.198533209040761
61,tsce1,94,0.0
62,base,166,0.6851350842043757
62,tsce1,60,0.0
65,base,71,0.3084669169038534
65,tsce1,14,0.0
64,base,107,0.19296175008639693
64,tsce1,76,0.0
68,base,71,0.263783167116344
68,tsce1,14,0.0
66,base,161,0.5827411669306457
66,tsce1,58,0.0
67,base,100,0.22430849983356893
67,tsce1,74,0.0
69,base,114,0.20317150000482798
69,tsce1,103,0.0
71,base,107,0.16557283396832645
71,tsce1,87,0.0
70,base,163,0.6144396250601858
70,tsce1,57,0.0
73,base,71,0.25574362510815263
73,tsce1,14,0.0
75,base,34,0.18871799996122718
75,tsce1,5,0.0
72,base,115,0.19423575000837445
72,tsce1,126,0.0
74,base,114,0.18002850003540516
74,tsce1,96,0.0
77,base,105,0.6036341250874102
77,tsce1,40,0.0
78,base,105,0.5833614999428391
78,tsce1,40,0.0
79,base,71,0.3045579579193145
79,tsce1,14,0.0
80,base,71,0.3531725420616567
80,tsce1,14,0.0
76,base,122,0.18332125013694167
76,tsce1,80,0.0
82,base,109,0.25252379197627306
82,tsce1,80,0.0
81,base,167,0.7773182499222457
81,tsce1,62,0.0
83,base,105,0.539449917152524
83,tsce1,40,0.0
84,base,71,0.3423367920331657
84,tsce1,14,0.0
87,base,34,0.17025999980978668
87,tsce1,5,0.0
86,base,101,0.2448036668356508
86,tsce1,71,0.0
85,base,164,0.6195698748342693
85,tsce1,56,0.0
89,base,37,0.18619712488725781
89,tsce1,5,0.0
90,base,71,0.33047358389012516
90,tsce1,14,0.0
88,base,165,0.638429915998131
88,tsce1,58,0.0
92,base,71,0.3199371669907123
92,tsce1,14,0.0
91,base,107,0.21818670793436468
91,tsce1,81,0.0
95,base,71,0.3138603330589831
95,tsce1,14,0.0
94,base,160,0.7040032499935478
94,tsce1,57,0.0
93,base,169,0.7694521669764072
93,tsce1,62,0.0
96,base,34,0.3904173329938203
96,tsce1,5,0.0
99,base,34,0.214875458041206
99,tsce1,5,0.0
97,base,169,0.7280267500318587
97,tsce1,62,0.0
98,base,169,0.6294342088513076
98,tsce1,62,0.0
100,base,116,0.24659179197624326
100,tsce1,78,0.0
101,base,117,0.2459059590473771
101,tsce1,69,0.0
102,base,107,0.2283095419406891
102,tsce1,81,0.0
103,base,169,0.6575194580946118
103,tsce1,62,0.0
105,base,114,0.19130458310246468
105,tsce1,82,0.0
104,base,156,0.8062114999629557
104,tsce1,55,0.0
106,base,123,0.19092545891180634
106,tsce1,90,0.0
108,base,71,0.29097658302634954
108,tsce1,14,0.0
107,base,105,0.621193875093013
107,tsce1,40,0.0
110,base,114,0.2296836250461638
110,tsce1,69,0.0
109,base,158,0.5913133749272674
109,tsce1,55,0.0
111,base,170,0.7505996660329401
111,tsce1,63,0.0
113,base,107,0.2099457080475986
113,tsce1,81,0.0
115,base,165,0.6120789579581469
115,tsce1,61,0.0
112,base,813,4.178641957929358
112,tsce1,250,0.0
116,base,71,1.6170789999887347
116,tsce1,14,0.0
114,base,813,2.3566150828264654
114,tsce1,250,0.0
117,base,114,0.24493704200722277
117,tsce1,97,0.0
119,base,105,0.5904442500323057
119,tsce1,40,0.0
120,base,105,0.5001720420550555
120,tsce1,40,0.0
121,base,37,0.18520029191859066
121,tsce1,5,0.0
122,base,116,0.9914912090171129
122,tsce1,107,0.0
124,base,105,0.49085250007919967
124,tsce1,40,0.0
118,base,813,2.267055500065908
118,tsce1,250,0.0
123,base,115,0.21151933283545077
123,tsce1,55,0.0
125,base,166,0.6115610001143068
125,tsce1,62,0.0
128,base,34,0.16987341712228954
128,tsce1,5,0.0
126,base,115,0.21879941690713167
126,tsce1,92,0.0
130,base,71,0.24573033303022385
130,tsce1,14,0.0
129,base,71,0.2479221250396222
129,tsce1,16,0.0
132,base,122,0.19503125012852252
132,tsce1,80,0.0
131,base,162,0.6247676671482623
131,tsce1,56,0.0
133,base,128,0.22658358281478286
133,tsce1,105,0.0
134,base,168,0.6781997079961002
134,tsce1,60,0.0
127,base,813,2.3225116247776896
127,tsce1,250,0.0
136,base,121,0.2812599171884358
136,tsce1,88,0.0
137,base,105,0.578561665955931
137,tsce1,40,0.0
135,base,71,0.34776062495075166
135,tsce1,16,0.0
140,base,34,0.16859958390705287
140,tsce1,5,0.0
141,base,34,0.1736401659436524
141,tsce1,5,0.0
139,base,160,0.7737095409538597
139,tsce1,55,0.0
143,base,37,0.20503424992784858
143,tsce1,5,0.0
144,base,37,0.3966378748882562
144,tsce1,5,0.0
145,base,107,0.2305971661116928
145,tsce1,57,0.0
138,base,813,3.4380950001068413
138,tsce1,250,0.0
142,base,813,2.230614250060171
142,tsce1,250,0.0
146,base,107,0.1871777910273522
146,tsce1,85,0.0
148,base,71,0.2523655421100557
148,tsce1,14,0.0
147,base,114,0.2349668329115957
147,tsce1,97,0.0
149,base,71,0.20285599981434643
149,tsce1,14,0.0
151,base,34,0.23080512485466897
151,tsce1,5,0.0
150,base,105,0.4908366668969393
150,tsce1,40,0.0
153,base,108,0.21806924999691546
153,tsce1,88,0.0
154,base,71,0.2789355830755085
154,tsce1,16,0.0
155,base,34,0.1714644159656018
155,tsce1,5,0.0
152,base,165,1.930420916993171
152,tsce1,61,0.0
158,base,34,0.16418608301319182
158,tsce1,5,0.0
156,base,105,0.6690536248497665
156,tsce1,40,0.0
157,base,105,0.3860900830477476
157,tsce1,40,0.0
159,base,71,0.2853824170306325
159,tsce1,14,0.0
160,base,71,0.2403529160656035
160,tsce1,14,0.0
161,base,71,0.2972025000490248
161,tsce1,14,0.0
164,base,37,0.375355290947482
164,tsce1,5,0.0
162,base,105,0.4539968748576939
162,tsce1,40,0.0
165,base,71,0.5208859578706324
165,tsce1,14,0.0
166,base,105,0.5965875419788063
166,tsce1,40,0.0
167,base,116,0.22752337506972253
167,tsce1,69,0.0
168,base,107,0.2273619577754289
168,tsce1,63,0.0
169,base,34,0.2200454999692738
169,tsce1,5,0.0
171,base,114,0.17287916713394225
171,tsce1,79,0.0
163,base,813,2.4645247920416296
163,tsce1,250,0.0
170,base,123,0.21054229093715549
170,tsce1,83,0.0
172,base,167,0.5473441670183092
172,tsce1,61,0.0
174,base,71,0.2990801671985537
174,tsce1,14,0.0
173,base,162,0.7188375419937074
173,tsce1,58,0.0
176,base,37,0.35662254178896546
176,tsce1,5,0.0
177,base,71,0.2644933748524636
177,tsce1,14,0.0
179,base,71,0.2677194168791175
179,tsce1,14,0.0
180,base,168,0.7724736670497805
180,tsce1,61,0.0
175,base,813,2.1300608331803232
175,tsce1,250,0.0
181,base,107,0.19645699998363853
181,tsce1,76,0.0
183,base,71,0.2343679580371827
183,tsce1,14,0.0
182,base,105,0.4687411249615252
182,tsce1,40,0.0
178,base,813,2.3142717080190778
178,tsce1,250,0.0
185,base,105,0.5114019999746233
185,tsce1,40,0.0
186,base,100,0.20811941614374518
186,tsce1,68,0.0
184,base,163,0.4702908340841532
184,tsce1,56,0.0
189,base,71,0.2590590419713408
189,tsce1,14,0.0
187,base,105,0.5045960829593241
187,tsce1,40,0.0
188,base,165,0.6650362089276314
188,tsce1,61,0.0
191,base,71,0.40463962499052286
191,tsce1,14,0.0
193,base,173,0.7071375418454409
193,tsce1,62,0.0
192,base,162,0.5892412499524653
192,tsce1,58,0.0
194,base,105,0.5325767919421196
194,tsce1,40,0.0
195,base,160,0.7451386670581996
195,tsce1,57,0.0
196,base,105,0.45042316685430706
196,tsce1,40,0.0
190,base,813,2.040995999937877
190,tsce1,250,0.0
197,base,162,0.5618322498630732
197,tsce1,57,0.0
198,base,166,0.6544460840523243
198,tsce1,61,0.0
199,base,114,0.18748295912519097
199,tsce1,106,0.0
200,base,114,1.3270754581317306
200,tsce1,97,0.0
201,base,162,0.7137042919639498
201,tsce1,57,0.0
203,base,123,0.21109899994917214
203,tsce1,80,0.0
202,base,105,0.5026886670384556
202,tsce1,40,0.0
204,base,108,0.18233754206448793
204,tsce1,74,0.0
206,base,37,0.3564424170181155
206,tsce1,5,0.0
205,base,170,0.6757703342009336
205,tsce1,61,0.0
207,base,100,0.23284870805218816
207,tsce1,69,0.0
208,base,37,0.1785318749025464
208,tsce1,5,0.0
210,base,71,0.30270333401858807
210,tsce1,14,0.0
209,base,159,0.5629287909250706
209,tsce1,57,0.0
211,base,168,0.7920777502004057
211,tsce1,62,0.0
212,base,105,0.9454709999263287
212,tsce1,40,0.0
213,base,114,0.19313920894637704
213,tsce1,100,0.0
214,base,107,0.23583291587419808
214,tsce1,85,0.0
216,base,37,0.18024158291518688
216,tsce1,5,0.0
215,base,116,0.2555531670805067
215,tsce1,151,0.0
219,base,37,0.23481479194015265
219,tsce1,5,0.0
217,base,105,0.49370749993249774
217,tsce1,40,0.0
218,base,105,0.5589745419565588
218,tsce1,40,0.0
222,base,37,0.17681062500923872
222,tsce1,5,0.0
221,base,71,0.28757258295081556
221,tsce1,14,0.0
224,base,71,0.3019489999860525
224,tsce1,14,0.0
220,base,166,0.7213266249746084
220,tsce1,61,0.0
226,base,105,0.5876254579052329
226,tsce1,40,0.0
225,base,171,1.0256072080228478
225,tsce1,63,0.0
228,base,105,0.5631722500547767
228,tsce1,40,0.0
229,base,71,0.23496308317407966
229,tsce1,14,0.0
230,base,71,0.3032462091650814
230,tsce1,14,0.0
223,base,813,2.2230184588115662
223,tsce1,250,0.0
231,base,34,0.17081162496469915
231,tsce1,5,0.0
232,base,105,0.4912341251038015
232,tsce1,40,0.0
233,base,71,0.22793945809826255
233,tsce1,16,0.0
234,base,71,0.30207258299924433
234,tsce1,14,0.0
236,base,71,0.32827070797793567
236,tsce1,14,0.0
227,base,813,2.1855509160086513
227,tsce1,250,0.0
237,base,71,0.23590604215860367
237,tsce1,14,0.0
235,base,161,0.6707037501037121
235,tsce1,56,0.0
239,base,71,0.22393733286298811
239,tsce1,14,0.0
241,base,71,0.2842862089164555
241,tsce1,16,0.0
240,base,105,0.4244700421113521
240,tsce1,40,0.0
242,base,105,0.4305705421138555
242,tsce1,40,0.0
238,base,107,0.1881595840677619
238,tsce1,82,0.0
243,base,169,0.5765775840263814
243,tsce1,62,0.0
246,base,114,0.17450558301061392
246,tsce1,99,0.0
245,base,114,0.17854795791208744
245,tsce1,75,0.0
247,base,166,0.7496762501541525
247,tsce1,61,0.0
248,base,162,0.555367040913552
248,tsce1,57,0.0
249,base,34,0.1902978748548776
249,tsce1,5,0.0
250,base,105,0.46950412495061755
250,tsce1,40,0.0
244,base,813,2.588046958204359
244,tsce1,250,0.0
251,base,173,0.7183716672006994
251,tsce1,63,0.0
252,base,162,0.7071995409205556
252,tsce1,57,0.0
253,base,169,0.6278488750103861
253,tsce1,63,0.0
255,base,37,0.1780236668419093
255,tsce1,5,0.0
256,base,107,0.1671318330336362
256,tsce1,88,0.0
257,base,115,0.18379899999126792
257,tsce1,73,0.0
258,base,71,0.28837170894257724
258,tsce1,14,0.0
259,base,168,0.7263705409131944
259,tsce1,62,0.0
260,base,107,0.2218602909706533
260,tsce1,63,0.0
261,base,105,0.5276102919597179
261,tsce1,40,0.0
254,base,813,2.2723332091700286
254,tsce1,250,0.0
262,base,105,0.529957708902657
262,tsce1,40,0.0
264,base,34,0.20171229192055762
264,tsce1,5,0.0
263,base,71,0.3554391670040786
263,tsce1,14,0.0
266,base,105,0.5887390840798616
266,tsce1,40,0.0
267,base,166,0.6537259998731315
267,tsce1,60,0.0
269,base,71,0.3934270420577377
269,tsce1,14,0.0
270,base,162,0.7143687920179218
270,tsce1,56,0.0
265,base,813,2.282336583128199
265,tsce1,250,0.0
271,base,105,0.6236515410710126
271,tsce1,40,0.0
273,base,105,0.6046986249275506
273,tsce1,40,0.0
274,base,129,0.23696024995297194
274,tsce1,132,0.0
268,base,813,1.8600052089896053
268,tsce1,250,0.0
272,base,813,2.152269917074591
272,tsce1,250,0.0
275,base,813,2.1436062920838594
275,tsce1,250,0.0
276,base,813,3.773440625052899
276,tsce1,250,0.0
279,base,37,0.1843587919138372
279,tsce1,5,0.0
278,base,157,0.5486695829313248
278,tsce1,56,0.0
277,base,813,2.1874766249675304
277,tsce1,250,0.0
280,base,164,0.5462677499745041
280,tsce1,58,0.0
282,base,71,0.28354254201985896
282,tsce1,14,0.0
283,base,160,0.7450077498797327
283,tsce1,55,0.0
281,base,107,0.21680912491865456
281,tsce1,81,0.0
285,base,105,0.4558290410786867
