id,strategy,tokens,latency
1,base,34,0.8230641250120243
1,tsce,5,0.0
1,cot,5,0.0
1,ct,5,0.0
1,ref,5,0.0
1,rt,5,0.0
3,base,105,0.8236638749949634
3,tsce,44,0.0
3,cot,43,0.0
3,ct,44,0.0
3,ref,43,0.0
3,rt,40,0.0
4,base,114,0.46389945899136364
4,tsce,92,0.0
4,cot,63,0.0
4,ct,92,0.0
4,ref,6,0.0
4,rt,92,0.0
6,base,115,0.3123864160006633
6,tsce,100,0.0
6,cot,78,0.0
6,ct,100,0.0
6,ref,6,0.0
6,rt,100,0.0
5,base,108,0.25349933400866576
5,tsce,74,0.0
5,cot,50,0.0
5,ct,74,0.0
5,ref,6,0.0
5,rt,74,0.0
9,base,71,0.2855031670042081
9,tsce,14,0.0
9,cot,21,0.0
9,ct,14,0.0
9,ref,14,0.0
9,rt,14,0.0
7,base,162,0.7331922500015935
7,tsce,57,0.0
7,cot,58,0.0
7,ct,58,0.0
7,ref,56,0.0
7,rt,56,0.0
11,base,104,0.5422357500065118
11,tsce,44,0.0
11,cot,44,0.0
11,ct,40,0.0
11,ref,44,0.0
11,rt,40,0.0
2,base,125,0.4213854999979958
2,tsce,94,0.0
2,cot,16,0.0
2,ct,107,0.0
2,ref,8,0.0
2,rt,107,0.0
8,base,166,0.6492914999980712
8,tsce,61,0.0
8,cot,60,0.0
8,ct,133,0.0
8,ref,61,0.0
8,rt,61,0.0
13,base,71,0.3947049580019666
13,tsce,14,0.0
13,cot,21,0.0
13,ct,14,0.0
13,ref,14,0.0
13,rt,14,0.0
15,base,71,0.26805749999766704
15,tsce,14,0.0
15,cot,21,0.0
15,ct,14,0.0
15,ref,14,0.0
15,rt,14,0.0
14,base,105,0.6825324579986045
14,tsce,40,0.0
14,cot,44,0.0
14,ct,44,0.0
14,ref,45,0.0
14,rt,40,0.0
10,base,813,2.1762796249968233
10,tsce,486,0.0
10,cot,27,0.0
10,ct,41,0.0
10,ref,256,0.0
10,rt,256,0.0
17,base,156,0.6849209579959279
17,tsce,57,0.0
17,cot,53,0.0
